name,description,table,visibility,required,type,notes,Stella_Comments,Pat comments,Anna comments
Focal_years,Year or decade to which song and culture data pertain. ,societies,public,TRUE,string,,,,Require
cantometrics_samplesize,The number of data points in Cantometrics for a society,societies,public,TRUE,integer,,"Required should be FALSE. There are societies that are coded for other datasets and not canto. And a handful of societies are not coded for any dataset, they are leftover from old codes that were removed and other things, but we're keeping them (though maybe they should be internal?) Let me know if you want more detail on that. ","""I originally had been thinking that we would publish one public version now which ONLY includesКsocieties with Cantometric codings and keep a private version thatКincludes societies with only data from non-cantometrics. But as I think about this I think it would be overly confusing. So I think best to do as Stella suggests and just publish ONE version that includes ALL societies, even those without Cantometrics. So I agree with StellaХs comments here and in the rows below.""",Require-I agree
minutage_samplesize,The number of data points in Minutage for a society,societies,public,TRUE,integer,,Should be public,I agree (See comment immediately above),Require and public
parlametrics_samplesize,The number of data points in Parlametrics for a society,societies,public,TRUE,integer,,Should be public,I agree (See comment immediately above),Require and public
phonotactics_samplesize,The number of data points in Phonotactics for a society,societies,public,TRUE,integer,,Should be public,I agree (See comment immediately above),Require and public
Koppen_climate_terrain,Climate category based on Koppen-Geiger World Maps http://koeppen-geiger.vu-wien.ac.at/. Multiple categories are comma separated. ,societies,public,TRUE,categorical,,,,Why remove?  Require and public
Koppen_code,Climate category code based on Koppen-Geiger World Maps http://koeppen-geiger.vu-wien.ac.at/. Multiple categories are comma separated. ,societies,public,FALSE,categorical,,,,Why is the repeated?
Arensberglomax_taxon,"Taxon allocations from Lomax, A., & Arensberg, C. M. (1977). A Worldwide Evolutionary Classification of Cultures by Subsistence Systems. Current Anthropology, 18(4), 659‰ЫТ708.",societies,public,TRUE,identifier,,,,"Require, public, if the field is blank require something like NI, no information"
Taxon_id,"Refined Arensberg-Lomax Culture ID, from Lomax & Arensberg (1977).",societies,internal,FALSE,identifier,structured as four letters followed by four numbers?,"Structured as ""scfal"" followed by an integer (from 1-1276 currently). I think this should be internal for now because we don't have the data ready, and these taxon ids are a new identifier that we created to go with digitized data once we prepare it.",,Internal now
Language,Primary language spoken by a culture,societies,public,TRUE,string,,,,Require and public
Language_nearsubfamily,Lower-level hierarchical language clade,societies,public,TRUE,string,,Required should be TRUE,,Require and public
Language_largersubfamily,Higher-level hierarchical language clade,societies,public,TRUE,string,,Required should be TRUE,,Require and public
Language_family,The language family linked to a culture,societies,public,TRUE,string,,Required should be TRUE,,Require and public
Language_familytree,The hierarchy of language families linked to a culture,societies,internal,FALSE,string,,,,Internal for now
ISO6393,ISO 639 is a standardized nomenclature used to classify languages,societies,internal,FALSE,identifier,Can we remove the ISO 6393 prefix? Then this column can be constrained more appropriately.,Fine with me,Remove,I agree Remove
Glottocode,Identification code based on Glottolog.org,societies,public,TRUE,identifier,[a-z]{4}[0-9]{4},,Required and public,Require and public
Country,"Name of the country a culture resides in. If a culture persists across borders, countries are seperated by semi-colons. ",societies,public,TRUE,categorical,,,Required and public,Require and public
Country_id,Numeric identifier for Country,societies,internal,FALSE,identifier,Mostly empty?,"Not sure what this column was supposed to be. Check with Anna, but I would say remove it or clarify what it is and keep internal.",Keep and internal,Internal
society_id,Unique identifier for each culture,societies,public,TRUE,identifier; foreign key,Always 5 numbers?,"Looks like all of them except one are 5 digit numbers, but not sure if that is worth making a requirement. They come from the original Lomax documents and new ones are added sequentially.","Agree with Stella,  Required and public",Leave as is.
C_cid,Unique identifier for each culture in Cantometrics,societies,internal,FALSE,identifier; foreign key,,,"internal, unless Stella says they are all the same.","internal, unless Stella says they are all the same."
M_cid,Unique identifier for each culture in Minutage,societies,internal,FALSE,identifier; foreign key,,,"internal, unless Stella says they are all the same.","internal, unless Stella says they are all the same."
Ch_cid,Unique identifier for each culture in Choreometrics,societies,internal,FALSE,identifier; foreign key,,,"internal, unless Stella says they are all the same.","internal, unless Stella says they are all the same."
P_cid,Unique identifier for each culture in Parlametrics,societies,internal,FALSE,identifier; foreign key,,,"internal, unless Stella says they are all the same.","internal, unless Stella says they are all the same."
Ph_cid,Unique identifier for each culture in Phonotactics,societies,internal,FALSE,identifier; foreign key,,,"internal, unless Stella says they are all the same.","internal, unless Stella says they are all the same."
I+cid,Unique identifier for each culture in Instrument & Ensembles,societies,internal,FALSE,identifier; foreign key,,"I deleted this column, it was not accurate.",Deleted,Deleted
Soc_cid,Unique identifier for each culture in XXXX,societies,internal,TRUE,identifier; foreign key,,"I deleted this column, it was not accurate.",Deleted ,Deleted
dplace_id,Unique identifier for pairing data to D-PLACE (d-place.org),societies,public,TRUE,identifier,,,Required and public,Require and public
EA_cu_name,,societies,internal,FALSE,string,,,Required and public—UPDATE,Internal
EA_cu# UPDATE,,societies,public,TRUE,string,,,Required and public,Require and public
Murdock_cu#,,societies,internal,FALSE,integer,,,Internal ,Internal
EA_Prov_name,,societies,public,TRUE,string,,"I think Anna might want this to be public, check with her.",Required and public,Require and public
EA_Prov_#,,societies,public,TRUE,integer,,"I think Anna might want this to be public, check with her.",Required and public,Require and public
EA_Prov_notes,,societies,internal,FALSE,string,,Deleted this column.,Deleted,Deleted
EA_#,,societies,public,TRUE,integer,,,"Required as above, EA new",Require and public
Culture_Wiki,,societies,public,TRUE,string,,,Required and public,Require and public
Society_summary,Notes about a society,societies,public,TRUE,string,,,Required and public,Require and public
Notes_1,Notes about a society,societies,public,TRUE,string,,,,Require and public
Notes_2,Notes about a society,societies,internal,FALSE,string,,,,Internal
Culture Sources,,societies,public,TRUE,string,,I think this should be public? So that users can look up the source in our source database.,Required and public,Require and public
song_id,Unique identifer for each song,data,public,TRUE,identifier; foreign key,,,,"We have those elsewhere—we have those.  Those are CODING IDS SAM PLEASE NOTE THIS.  Maybe there should be an identifier for each song, AND a coding Id.  "
Preferred_name,Prefered name of a society,data,public,TRUE,identifier; foreign key,,"Why remove? I would call it ""society"" rather than ""preferred_name"" because it's the same as the society col on the culture metadata. But it seems useful to have. If keeping it, required should be TRUE.","Required and public, and remove “preferred”","Required and public, and remove “preferred” Society Name"
society_id,Unique identifier for each society,data,public,TRUE,identifier; foreign key,,??,,"Required and public,"
line_1,"ThisеКlineеКdescribesеКtheеКsocialеКorganizationеКofеКtheеКsingingеКgroup.еКHereеКyouеКwillеКfindеКvariationsеКofеК‰ЫПcallеКandеКresponse.‰ЫќеКTwoеКbasicеКelementsеКofеКgroupеКorganizationеКareеКconsidered: 1)еКProminenceеКofеКsoloеКorеКleader‰ЫЄsеКpart; 2)еКTypeеКofеКgroupеКorganization. TheеКscaleеКisеКoneеКofеКincreasinglyеКintegratedеКsocialеКrelations,еКfromеКsoloеКtoеКinterlock.",data,public,TRUE,categorical,,,,"Required and public,"
line_2,"TheеКtermеК‰ЫПorchestra‰ЫќеКrefersеКtoеКtheеКperformersеКofеКanyеКnon-vocalеКsoundsеКheardеКonеКtheеКrecord,еКwhetherеКtheyеКbeеКbody-producedеК(clapping,еКstamping)еКorеКobject-producedеКbyеКanythingеКfromеКtwoеКsticksеКtoеКaеКsymphonyеКorchestra.",data,public,TRUE,categorical,,,,"Required and public,"
line_3,"LineеК3еКandеКLineеК1еК(SocialеКOrganizationеКofеКtheеКVocalеКGroup)еКcorrespond,еКbutеКtheеКsocialеКrelationshipsеКbetweenеКtheеКorchestra‰ЫЄsеКpartsеКareеКmoreеКdifficultеКtoеКidentify‰ЫУforеКexample,еКitеКisеКoftenеКhardеКtoеКdistinguishеКbetweenеКtypesеКofеКoverlap.еКInеКmanyеКcases,еКtwoеКorеКmoreеКcodingеКsituationsеКmayеКbeеКequallyеКimportant,еКrequiringеКmultipleеКcoding.еКTheеКscaleеКisеКoneеКofеКincreasingеКintegration,еКfromеКsoloеКtoеКinterlock.",data,public,TRUE,Categorical,,,,"Required and public,"
line_4,TheеКmusicalеКcoordinationеКamongstеКtheеКsingersеКinеКaеКgroupеКconsidersеКbothеКmelodicеКandеКrhythmicеКelements.,data,public,TRUE,Categorical,,,,"Required and public,"
line_5,"BothеКdiffuseеКandеКcohesiveеКsoundsеКareеКpleasingеКwithinеКaеКgivenеКaesthetic.еКMuchеКtonalеКblendеКdependsеКuponеКwide,еКclearеКvoicingеКandеКtheеКrelativeеКabsenceеКofеКvocalеКnoiseеКandеКornamentation.еКInеКcontrast,еКwithеКtonalеКindependence,еКnoеКindividualеКyieldsеКtoеКanother,еКproducingеКaеКnoisyеКeffect.еКIntermediateеКblendеКisеКoftenеКaеКreedyеКunisonеКinеКwhichеКindividualеКvoicesеКareеКheard.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_6,"TheеКdegreeеКofеКrhythmicеКcoordinationеКbetweenеКmembersеКofеКtheеКsingingеКgroupеКdependsеКonеКtheеКdegreeеКtoеКwhichеКitsеКmembersеКcoordinateеКtheirеКattacksеКandеКreleases.еКRhythmicеКblendеКisеКconsideredеКmaximalеКwhenеКattacksеКandеКreleasesеКareеКpreciselyеКcoordinated.еКIfеКmovementеКfromеКnoteеКtoеКnoteеКisеКstaggered,еКthenеКrhythmicеКblendеКisеКconsideredеКminimal.еКBothеКeffectsеКareеКaestheticallyеКgrounded,еКpowerful,еКandеКpleasing.",data,public,TRUE,Categorical,,,,"Required and public,"
line_7,"OverallеКmusicalеКcoordinationеКamongstеКmembersеКofеКtheеКorchestra,еКtakingеКbothеКmelodicеКandеКrhythmicеКelementsеКintoеКaccount.еКHere,еКpolyrhythmеКisеКtreatedеКasеКaеКtypeеКofеКpolyphony,еКasеКeachеКpartеКisеКindependent.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_8,"TheеКconceptеКofеКtonalеКblendеКappliesеКtoеКorchestrasеКdifferentlyеКthanеКtoеКvoices.еКAnеКorchestraеКcomposedеКofеКseveralеКdifferentеКkindsеКofеКinstrumentsеКcanеКrarelyеКachieveеКtheеКsameеКdegreeеКofеКtonalеКunityеКasеКaеКchorusеКofеКvoices.еКConsequently,еКtheеКmeasureеКofеКblendеКforеКorchestrasеКisеКnotеКuniformityеКofеКtimbre,еКbutеКratherеКtheеКoverallеКsonorityеКofеКtheеКensemble.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_9,"RatesеКtheеКdegreeеКofеКrhythmicеКcoordinationеКbetweenеКmembersеКofеКtheеКorchestra.еКIfеКallеКattacksеКandеКreleasesеКareеКpreciselyеКcoordinated,еКrhythmicеКblendеКisеКconsideredеКmaximal.еКIf,еКonеКtheеКotherеКhand,еКmovementsеКfromеКnoteеКtoеКnoteеКareеКinvariablyеКasynchronous,еКrhythmicеКblendеКisеКconsideredеКminimal.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_10,"ListeningеКtoеКtheеКtextеКasеКitеКisеКperformed,еКconsiderеКtheеКdegreeеКofеКrepetitionеКinеКtheеКtextеКwithoutеКconsideringеКtheеКmeaningеКofеКtheеКwords.еКKnowledgeеКofеКtheеКlanguageеКofеКtheеКtextеКhasеКnoеКbearingеКonеКthisеКrating.еКInstead,еКmakeеКaеКjudgmentеКaboutеКtheеКproportionеКofеКtheеКtextеКinеКtheеКwholeеКsongеКthatеКseemsеКtoеКbeеКrepeated,еКorеКwhichеКconsistsеКofеКwordsеКthatеКhaveеКnoеКlexicalеКmeaning.",data,public,TRUE,Categorical,,,,"Required and public,"
line_11,"InеКmostеКmusicalеКstyles,еКtheеКperformerеКorеКperformersеКemployеКaеКsingle,еКoverallеКrhythmicеК‰ЫПgroundеКplan,‰ЫќеКwhichеКservesеКasеКaеКpointеКofеКreferenceеКforеКtheеКinfiniteеКvarietyеКofеКrhythmicеКdetailеКpossibleеКwithinеКtheеКscheme.еКAlthoughеКmanyеКsuchеКoverallеКformatsеКareеКpossible,еКtheyеКhaveеКbeenеКdividedеКhereеКintoеКfiveеКgeneralеКcategories.еКTheеКcategoriesеКforеКthisеКmeasureеКapplyеКtoеКtheеКoverallеКrhythmеКofеКtheеКvoices.еКInеКorderеКtoеКcodeеКtheеКinstrumentalеКpart,еКreferеКtoеКLineеК13.",data,public,TRUE,Categorical,,,,"Required and public,"
line_12,"SingingеКgroupsеКestablishеКtheirеКrhythmicеКactivityеКinеКaеКnumberеКofеКways.еКInеКsomeеКcases,еКallеКsingersеКorеКpartsеКinеКaеКchorusеКmayеКstickеКtoеКtheеКmainеКrhythm.еКInеКothers,еКthereеКmayеКbeеКoneеКorеКmoreеКcontrastingеКrhythmicеКparts.еКThisеКlineеКprovidesеКsevenеКdescriptiveеКcategoriesеКforеКtheеКvariousеКtypesеКofеКrhythmicеКrelationshipsеКthatеКlinkеКaеКgroupеКtogetherеКwithinеКoneеКofеКtheеКoverallеКmetricalеКpatternsеКalreadyеКcodedеКinеКLineеК11.",data,public,TRUE,Categorical,,,,"Required and public,"
line_13,"InеКmostеКmusicalеКstyles,еКtheеКperformerеКorеКperformersеКemployеКaеКsingle,еКoverallеКrhythmicеКplanеКthatеКservesеКasеКaеКpointеКofеКreferenceеКforеКtheеКgreatеКvarietyеКofеКrhythmicеКdetailеКpossibleеКwithinеКtheеКscheme.еКAlthoughеКaеКlargeеКnumberеКofеКsuchеКoverallеКschemesеКareеКpossible,еКhereеКtheyеКareеКdividedеКthemеКintoеКsixеКgeneralеКcategories.еКTheеКcategoriesеКforеКthisеКmeasureеКapplyеКtoеКtheеКoverallеКrhythmеКofеКtheеКinstrumentalеКpart.",data,public,TRUE,Categorical,,,,"Required and public,"
line_14,TheеКvariousеКtypesеКofеКrelationshipsеКbetweenеКtheеКinstrumentsеКareеКratedеКhere.,data,public,TRUE,Categorical,,,,"Required and public,"
line_15,"TheеКcharacteristicеКcontoursеКofеКtheеКvocalеКlineеКareеКdescribedеКinеКveryеКgeneralеКterms.еКWhileеКmostеКofеКtheеКotherеКlinesеКareеКscalarеКtoеКsomeеКdegree,еКthisеКlineеКdidеКnotеКlendеКitselfеКtoеКsuchеКtreatment.еКHence,еКtheеКsequenceеКofеКtheеКfourеКcategoriesеКofеКmelodicеКshapeеКisеКarbitrary.",data,public,TRUE,Categorical,,,,"Required and public,"
line_16,"LineеК16еКisеКanеКattemptеКtoеКdealеКsuccinctlyеКwithеКtheеКfullеКrangeеКofеКmelodicеКforms.еКAtеКoneеКendеКofеКtheеКscaleеКisеКsimpleеКlitany,еКdefinedеКhereеКasеКaеКshortеКtuneеКcomposedеКofеКoneеКorеКtwoеКphrasesеКrepeatedеКoverеКandеКoverеКagain;еКinеКtheеКmiddleеКthereеКareеКstrophicеКforms;еКandеКatеКtheеКotherеКendеКisеКtheеКmostеКcomplexеКtype,еКthrough-composed,еКinеКwhichеКmanyеКvariedеКphrasesеКareеКstrungеКtogetherеКinеКaеКfashionеКthatеКtoеКsomeеКlistenersеКmayеКseemеКtoеКbeеКalmostеКformless.еКDegreesеКofеКmelodicеКvariationеКwithinеКtheseеКformsеКareеКdealtеКwithеКhereеКasеКwell.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_17,"AеКsimpleеКfive-pointеКscaleеКisеКusedеКtoеКdescribeеКphraseеКlength.еКCodingеКwasеКdoneеКwithoutеКaеКstopwatchеКforеКhalfеКtheеКsongеКsample,еКandеКthenеКaеКtestеКwithеКaеКstopwatchеКwasеКmade.еКItеКwasеКfoundеКthatеКtheеКlengthеКofеКphraseеКratedеКbyеКearеКcloselyеКapproximatedеКtheеКstopwatchеКmeasurements.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_18,"DetermineеКtheеКnumberеКofеКmelodicеКphrasesеКthatеКoccurеКinеКaеКsongеКbeforeеКaеКfullеКrepeatеКofеКtheеКentireеКphraseеКsequence,еКasеКwellеКasеКtheеКpresenceеКorеКabsenceеКofеКphraseеКsymmetry.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_19,"TheеКrelationеКofеКtheеКfinalеКnoteеКtoеКtheеКtotalеКrangeеКofеКtheеКsong.еКTheеКearеКtrainingеКoneеКdevelopsеКthroughеКlisteningеКtoеКtheеКmusicalеКexamplesеКfacilitatesеКaеКsimple,еКnon-technicalеКapproachеКtoеКtheеКconceptsеКoutlinedеКhere.еКTheеКratingеКscaleеКusedеКisеКaеКrelativelyеКsimpleеКone.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_20,"ThisеКisеКaеКmethodеКofеКjudgingеКtheеКtotalеКmelodicеКrangeеКofеКaеКsong,еКwhichеКisеКtheеКdistanceеКbetweenеКitsеКhighestеКandеКlowestеКnotes.еКCarefulеКlisteningеКmakesеКitеКpossibleеКtoеКtakeеКaеКnon-technicalеКapproachеКtoеКthisеКmeasure.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_21,"AnеКintervalеКisеКtheеКdistanceеКinеКpitchеКbetweenеКtwoеКnotes.еКHereеКintervalеКsizeеКisеКestimatedеКbyеКusingеКaеКsubjectiveеКfive-pointеКscale,еКinеКorderеКtoеКdetermineеКtheеКrelativeеКfrequencyеКofеКoneеКorеКmoreеКsize-categoriesеКofеКintervalеКinеКaеКperformance.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_22,"ThisеКmeasureеКconsidersеКtheеКuseеКofеКsimultaneouslyеКproducedеКintervalsеКotherеКthanеКunisonеКorеКtheеКoctave.еКTwo-partеКintervalsеКofеКthisеКkindеКareеКconsideredеКpolyphony,еКasеКwellеКasеКharmoniesеКofеКgreaterеКcomplexity.еКSimultaneouslyеКproducedеКintervalsеКmayеКalsoеКoccurеКinеКheterophony.еК(SeeеКalsoеКLineеК4.)",data,public,TRUE,Categorical,,,,"Required and public,"
line_23,"EmbellishmentеКisеКoneеКofеКseveralеКdevicesеКusedеКbyеКtheеКsingerеКasеКaеКkindеКofеКqualification,еКorеКornament,еКofеКtheеК‰ЫПbasic‰ЫќеКmelodicеКline.еКAnеКembellishedеКmelodicеКlineеКcontainsеКtwoеКentirelyеКdistinctеКkindsеКofеКnoteеКvalue,еКtheеКembellishedеКpartеКbeingеКmuchеКmoreеКrapidеКandеКephemeralеКthanеКtheеКmelodicеКpart.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_24,"AsеКemployedеКinеКCantometrics,еКtempoеКisеКbasedеКonеКaеКrelativeеКandеКapproximateеКdeterminationеКofеКtheеКspeedеКorеКspeedsеКofеКaеКperformance.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_25,"VolumeеКmeasuresеКtheеКrelativeеКdegreeеКofеКloudnessеКinеКaеКperformance.еКAsеКwithеКtempo,еКaеКsubjectiveеКscaleеКcuedеКbyеКtheеКhumanеКearеКprovedеКmostеКusefulеКforеКdeterminingеКvolume.еКAеКdecibelеКcountеКofеКvolumeеКinеКanyеКgivenеКrecordingеКisеКaffectedеКbyеКsoеКmanyеКfactorsеКthatеКitеКwouldеКbeеКmeaninglessеКunlessеКeveryеКstageеКofеКbothеКtheеКrecordingеКandеКplaybackеКwereеКsubjectеКtoеКtheеКmostеКrigorousеКcontrol.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_26,AеКjudgmentеКaboutеКhowеКstrictlyеКtempoеКisеКmaintainedеКduringеКaеКvocalеКperformance.,data,public,TRUE,Ordinal,,,,"Required and public,"
line_27,"AеКjudgmentеКaboutеКhowеКstrictlyеКtempoеКisеКmaintainedеКduringеКaеКperformance,еКappliedеКtoеКtheеКorchestraеКorеКaccompanyingеКinstruments.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_28,"GlissandoеКisеКtheеКeffectеКcreatedеКwhenеКtheеКvoiceеКslidesеКsmoothlyеКfromеКoneеКtoneеКtoеКanother,еКpassingеКthroughеКallеКtheеКintermediateеКpitchеКlevels.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_29,"TheеКsameеКsyllableеКofеКtextеКsungеКtoеКtwoеКorеКmoreеКnotesеКofеКmelody‰ЫУor,еКconversely,еКtheеКpassageеКofеКseveralеКnotesеКoverеКoneеКsyllable.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_30,"TremoloеКisеКaеКquaveringеКorеКshakingеКinеКtheеКvoice,еКheardеКasеКanеКundulationеКbetweenеКtwoеКcloselyеКadjacentеКpitchesеКorеКtoneеКcolors.еКItеКisеКusuallyеКdiscernibleеКonlyеКonеКnotesеКheldеКforеКanеКappreciableеКlengthеКofеКtime.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_31,"GlottalеКarticulationеКisеКtheеКproductеКofеКnoticeablyеКforcefulеКactivityеКinеКtheеКpharyngeal,еКorеКglottal,еКareaеКinеКtheеКbackеКofеКtheеКthroat.еКSomeеКsingersеКactuallyеКmanipulateеКtheirеКlaryngealеКprominenceеК(Adam‰ЫЄsеКapple)еКwithеКtheirеКfingersеКtoеКproduceеКthisеКeffect.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_32,"VocalеКpitchеКrefersеКtoеКtheеКtonalеКheight,еКorеКfrequency,еКofеКtheеКvoice.еКItеКisеКcommonlyеКusedеКtoеКdescribeеКtheеКkeyеКmostеКnaturalеКforеКtheеКvoiceеКofеКtheеКsinger.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_33,"ThisеКmeasureеКconcernsеКtheеКcontrastеКbetweenеКvoicesеКthatеКsoundеКmellow,еКrelaxed,еКandеКresonantеК(wide),еКandеКvoicesеКthatеКareеКtense,еКpinched,еКandеКrestrictedеКinеКresonanceеК(narrow).",data,public,TRUE,Ordinal,,,,"Required and public,"
line_34,"AеКnasalizedеКtoneеКisеКaеКstrongеКmarkerеКofеКsomeеКsingingеКstylesеКevenеКinеКtheеКabsenceеКofеКnasalеКsyllables,еКprobablyеКbecauseеКsingingеКisеКnormallyеКlouderеКandеКmoreеКforcefulеКthanеКspeaking.еКWhenеКaеКwideеКsampleеКofеКrecordedеКsongеКisеКexamined,еКtheеКabsenceеКofеКnasalizationеКinеКsomeеКstylesеКisеКalsoеКstriking.еКForеКthisеКreason,еКnasalizationеКisеКcoded,еКinеКspiteеКofеКtheеКvaguenessеКofеКtheеКterm.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_35,"RaspеКisеКfrequentlyеКassociatedеКwithеКveryеКmarked,еКforcedеКvocalizing.еКItеКcutsеКthroughеКmusicalеКperformancesеКinеКwhichеКeveryoneеКisеКsingingеКloudlyеКwithеКaеКloudеКaccompaniment.еКInеКsomeеКpartsеКofеКtheеКworld,еКperformersеКsingеКinеКaеКgratingеКtone,еКatеКtheеКsameеКtimeеКforcefullyеКemphasizingеКconsonants.еКTheеКresultеКisеКclearеКarticulation,еКbutеКwithеКaеКnoisierеКtonalеКimage.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_36,"AccentеКisеКheardеКasеКtheеКdynamicеКattackеКonеКsungеКtones.еКItеКdescribesеКtheеКprominenceеКgivenеКtoеКaеКnoteеКorеКchord,еКusuallyеКbyеКincreasingеКtheеКvolumeеКorеКlengtheningеКtheеКduration,еКorеКbyеКaеКbriefеКprecedingеКsilence.",data,public,TRUE,Ordinal,,,,"Required and public,"
line_37,"EmployingеКaеКscaleеКofеКfiveеКdegrees,еКthisеКmeasureеКevaluatesеКhowеКpreciselyеКconsonantsеКareеКarticulatedеКinеКsungеКtexts.еКItеКmustеКbeеКborneеКinеКmindеКthat,еКinеКgeneral,еКenunciationеКinеКsingingеКisеКboundеКtoеКbeеКlessеКclearеКthanеКinеКspeaking.",data,public,TRUE,Ordinal,,,,"Required and public,"
orv_1,,data,internal,FALSE,integer,,,,
orv_2,,data,internal,FALSE,integer,,,,
ensemble_value_id,,data,internal,FALSE,string,,,,
ensemble_value_label,,data,internal,FALSE,string,,,,
instrument_value_id,,data,internal,FALSE,string,,,,
instrument_value_label,,data,internal,FALSE,string,,,,
song_id,Unique identifer for each song,songs,public,TRUE,identifier; foreign key,,,,
Local_latitude,Latitude of the recording location ,songs,public,TRUE,continuous,between -180 & + 180,Required should be TRUE,Required,"Required and public,"
Local_longitude,Longitude of the recording location,songs,public,TRUE,continuous,between -90 & + 90,Required should be TRUE,Required,"Required and public,"
Homeland_latitude,Latitude of the homeland for diasporic societies,songs,public,TRUE,continuous,between -180 & + 180,,Required,"Required and public,"
Homeland_longitude,Longitude of the homeland for diasporic societies,songs,public,TRUE,continuous,between -90 & + 90,,Required,"Required and public,"
Region,"Geographic-cultural classification, created in the following hierarchy: Region/Division/Subregion/Area. Area could also be interpreted as Kingdom",songs,public,TRUE,string,,"Could we keep internal? It is very useful to have these for sorting the sheet for internal purposes, but I understand they they are redundant to display publicly.",Required and public,"Required and public,"
Division,"Geographic-cultural classification, created in the following hierarchy: Region/Division/Subregion/Area. Area could also be interpreted as Kingdom",songs,public,TRUE,string,,"Could we keep internal? It is very useful to have these for sorting the sheet for internal purposes, but I understand they they are redundant to display publicly.",Required and public,"Required and public,"
Subregion,"Geographic-cultural classification, created in the following hierarchy: Region/Division/Subregion/Area. Area could also be interpreted as Kingdom",songs,public,TRUE,string,,"Could we keep internal? It is very useful to have these for sorting the sheet for internal purposes, but I understand they they are redundant to display publicly.",Required and public,"Required and public,"
Area,"Geographic-cultural classification, created in the following hierarchy: Region/Division/Subregion/Area. Area could also be interpreted as Kingdom",songs,public,TRUE,string,,"Could we keep internal? It is very useful to have these for sorting the sheet for internal purposes, but I understand they they are redundant to display publicly.",Required and public,"Required and public,"
