var_id,code,description,name
line_5,4,"Minimal Blend (Very individualized). Singers do not attempt to match one another in tone. Individual voices stand out, and the effect can be strident or tumultuous, often producing a rich and interesting texture.",MinimalBlend
line_5,7,"Medium Blend (Rather individualized). Some tonal matching occurs, but individual voices may still be heard.",MediumBlend
line_5,10,"Significant Blend (Unified blend). The group sounds resonant as a whole, with some stridence.",SignificantBlend
line_5,13," Maximal blend. The singers match one another’s tone in such a way as to present the effect of a single tone quality. Any stridency is the result of harmonic dissonance rather than blend. The total effect is highly resonant, clear, and unified.",MaximalBlend
line_6,1,Solo,Solo
line_6,4,"Minimal rhythmic coordination. An individualized, rhythmically asynchronous performance.",MinimalCoordination
line_6,7,"Moderate rhythmic coordination. Some degree of rhythmic coordination, still considerably individualized.",ModerateCoordination
line_6,10,Unified rhythmic coordination. Attacks and releases are generally coordinated but not precisely so.,UnifiedCoordination
line_6,13,Maximal rhythmic coordination. Precise coordination at every rhythmic level.,MaximalCoordination
line_7,1,Non-occurrence. No instruments or Two or more instruments perceived to be totally asynchronous.,NonOccurence
line_7,4,"Monophony. One instrument playing one note at a time, or in octaves.",Monophony
line_7,7,"Unison. A group of instruments playing the same melody in unison or in octaves, an instrumental solo with simple percussion accompaniment—drum, rattle, sticks, clapping, etc., or any untuned percussion ensemble unless playing in polyrhythm, in which case, code 13 (Polyrhythm) (see Point 5).",
line_7,10,"Heterophony. Each instrument plays the same melody in a slightly different manner. The variation is usually rhythmic, with some instruments trailing behind, others pushing forward; or with some instruments more rhythmically active than others.",Heterophony
line_7,13,"Polyphony or polyrhythm. The use of simultaneously produced intervals other than unison or the octave. Two-part intervals of this kind are considered polyphony, as well as harmonies of greater complexity. ",PolyphonyPolyrhythm
line_8,1,"Non-occurrence. No group. Only one instrument in the ensemble, or no instruments at all.",NonOccurence
line_8,4,Minimal blend. Little or no overall sonority. Instruments contrast in tone quality and do not reinforce one another at all.,MinimalBlend
line_8,7,Medium blend.,MediumBlend
line_8,10,Significant Blend.,SignificantBlend
line_8,13,Maximal blend. Total effect is highly sonorous.,MaximalBlend
line_9,1,"Non-occurrence. No instruments, or no ensemble—one instrument only.",NonOccurence
line_9,4,Minimal rhythmic coordination. The members of a group share a rhythmic pattern that is so individualized that the effect is extremely asynchronous.,MinimalCoordination
line_9,7,"Moderate rhythmic coordination. A group that plays together on the beat, or follows the same rhythmic pattern or patterns, in a cohesive fashion.",ModerateCoordination
line_9,10,Unified rhythmic coordination. There is clear-cut coordination of attack and release on the beat.,UnifiedCoordination
line_9,13,Maximal or highly unified rhythmic coordination. The orchestra is tightly linked together rhythmically.,MaximalCoordination
line_10,1,"Little or no repetition—wordy. A continuous stream of dissimilar sung syllables, words, and phrases, with little or no repetition or use of non-lexical utterances. In such songs—epics, ballads, songs of prayer and supplication, and much of Western and Eurasian song—text is of paramount importance.",LittleRepetition
line_10,4,Some repetition. Some repetition and/or the use of non-lexical utterances—about one fourth repeated text.,SomeRepetition
line_10,7,Half repetition. A substantial amount of repetition and/or non-lexical utterances that more or less equals the flow of unrepeated words.,HalfRepetition
line_10,10,Quite repetitious. Considerably more than half (about two-thirds) of the sung performance is accounted for by repetition and/or non-lexical utterances.,QuiteRepetitious
line_10,13, Extreme repetition. The text seems to be almost entirely composed of repetition of some kind and/or non-lexical utterances.,ExtremeRepetition
line_11,1,Non-occurrence. No singers.,NonOccurence
line_11,3,One-beat rhythm. A series of equally accented single notes of about the same length.,OneBeat
line_11,6,"Simple meter. One simple meter—duple, triple, “simple,” or compound—runs through the whole song.",SimpleMeter
line_11,9,"Complex meter. Here, as with 6 (simple meter), one meter prevails throughout the song. In 9, however, the measure cannot be evenly divided by two or three to form subunits of two or three beats each. ",ComplexMeter
line_11,11,Irregular meter. No single meter prevails throughout. ,IrregularMeter
line_11,13,"Parlando rubato. Free rhythm, in which no regularly recurring beat can be distinguished, is often close to speech in general effect. Accents and rhythmic patterns are grouped in meaningful ways, but without reference to a regular division of time into steady beats.",ParlandoRubato
line_12,1,"Non-patterned. No rhythmic coherence of any sort. Each individual is independent and does not relate rhythmically to the others. Also, a solo singer.",NonPatterened
line_12,3,"Rhythmic unison. All voices move together with little or no rhythmic independence. A group may sing in parts and still be in rhythmic unison. All parts follow basically the same rhythm, so that they move together note for note.",RhythmicUnison
line_12,5,"Rhythmic heterophony. The singers tend to follow the same rhythmic pattern but one or more singers consistently deviates from the others in some way. Some may be out of phase with and trail the others; some may embellish the melody in an individual manner, or use more or less rubato than the others. They may follow the rhythm in a general way, trailing and catching up between the notes.",RhythmicHeterophony
line_12,7,"Accompanying rhythm. The singing group is divided into two or more parts, one of which accompanies the other. The accompanying part has independent rhythmic patterns but these are subordinate to the main part.",AccompanyingRhythm
line_12,9,"Simple polyrhythm. All of the parts basically conform to a single pulse. However, there are moments when one of the parts will temporarily deviate from the basic pulse to create a new pulse in conflict with it. ",SimplePolyrhythm
line_12,11,"Complex polyrhythm. Two or more conflicting pulses are heard simultaneously and more or less continuously throughout the song. (For a fuller explanation of 9 and 11, see explanatory note below.)",ComplexPolyrhythm
line_12,13,"Rhythmic counterpoint. Two or more rhythmic patterns, equal to and distinct from one another, occur simultaneously within the same rhythmic framework, but without conflict of pulse. ",RhythmicCounterpoint
line_13,1,Non-occurrence. No instruments,NonOccurence
line_13,3,One-beat rhythm. A series of equally accented single notes of about the same length.,OneBeat
line_13,6,"Simple meter. One simple meter (duple, triple, simple, or compound) runs through the whole piece.",SimpleMeter
line_13,9,"Complex meter. Here, as with 6, one meter prevails throughout the piece, however the measure cannot be evenly divided by two or three to form subunits of two or three beats each.",ComplexMeter
line_13,11,"Irregular meter. No one meter prevails throughout. A piece that is basically in 3/4, but has one or more measures in 2/4, is coded 11, as well as a piece in which the meter shifts continually from measure to measure—for example, 3/4, 2/4, 3/4, 3/4, 5/4, 3/2, etc.",IrregularMeter
line_13,13,Parlando rubato. Free rhythm in which no regularly recurring beat can be distinguished.,ParlandoRubato
line_14,1,No orchestra or non-patterned.,NoOrchestra
line_14,3,Rhythmic unison. All instruments move together with little or no rhythmic independence. A group may play in parts and still be in rhythmic unison.,RhythmicUnison
line_14,5,"Rhythmic heterophony. The instruments tend to follow the same rhythmic pattern, but one or more instruments consistently deviates from the others in some way. Some may be out of phase with and trail the others. Some may embellish the melody in an individual manner, or use more or less rubato (divergence from the strict beat) than others.",RhythmicHeterophony
line_14,7,"Accompanying rhythm. The instrumental group is divided into two or more parts, one of which accompanies the other. The accompanying part has independent rhythmic patterns, but these are subordinate to the main part. They may be (1) less active rhythmically, (2) less active melodically, (3) softer, or (4) they may occur intermittently. If the accompanying part is equal in importance and rhythmic activity to the main part, so that the accompaniment becomes, in effect, another melody, consider coding 13 (Rc).",AccompanyingRhythm
line_14,9,"Simple polyrhythm. All of the parts basically conform to a single pulse. However, there are moments when one of the parts will temporarily deviate from the basic pulse to create a new pulse in conflict with it. The conflict may last a moment or it may resolve itself only after several “measures,” as in much classical Indian music. In any case, this rhythmic conflict must be only temporary.",SimplePolyrhythm
line_14,11,Complex polyrhythm. Two or more conflicting pulses are heard simultaneously and more or less continually throughout the song.,ComplexPolyrhythm
line_14,13,"Rhythmic counterpoint. Two or more rhythmic patterns, equal to and distinct from one another, occur simultaneously within the same rhythmic framework but without conflict of pulse. A fugue is an example of this quality, which is also vigorous in folk and indigenous music. The principal feature to watch for is the presence of two or more independent parts active throughout the piece.",RhythmicCounterpoint
line_15,1,"Arched. An arched phrase begins at a certain point, rises in pitch, and then descends. Code at this point only if arched phrases occur prominently, not if the melody as a whole is arched.",Arched
line_15,5,"Terraced. The entire melody is characterized by a long descent in pitch, interrupted by periods of leveling off and, in some cases, by incidental rises. The melody begins at a relatively high pitch, moves downward through a phrase or two, and then levels off. The next portion begins at the same pitch level or slightly above it, descending to an even lower point, where it once again levels off. This cascading descent proceeds throughout the song, so that the melody ends on or near its lowest point. A sketch of this kind of melody would resemble a terraced field or a tiled roof.",Terraced
line_15,9,Undulating. Most phrases have a wave-like shape. They move up and down through a number of peaks and valleys of varying heights. Also coded here are those rare cases in which the shape of the phrase is predominantly ascending.,Undulating
line_15,13,Descending. Most phrases descend gradually or abruptly.,Descending
line_16,1,"Through-composed. A song that has no recognizable litany or strophic pattern, but instead is made up of a series of phrase groups in which consistently repeated sections seldom if ever occur. Not every section of the piece need consist of completely new material; certain melodic motifs may recur throughout, but not in a regularly occurring order. 1 is common in much Asian music as well as in Western art music.",ThroughComposed
line_16,2,Complex strophe with moderate to great variation.,ComplexStropheModerateVariation
line_16,3,"Complex strophe with little or no variation. 3 is similar to, but more complex than, 6. More is contained within the form than the regular repetition of three to eight phrases.",ComplexStropheLittleVariation
line_16,4,Simple strophe with much variation.,SimpleStropheMuchVariation
line_16,5,Simple strophe with a moderate amount of variation.,SimpleStropheModerateVariation
line_16,6,"Simple strophe with little or no variation. A series of three to eight (but not more than eight) phrases which are repeated, phrase by phrase, over and over, with no insertions of new material and no omissions or changes of order.",SimpleStropheLittleVariation
line_16,7,Complex litany with a high degree of variation in each section.,ComplexLitanyHighVariation
line_16,8,Complex litany with a moderate degree of variation in each section.,ComplexLitanyModerateVariation
line_16,9,"Complex litany is similar to 12 (simple litany), but involves certain complications. Refer to guide",ComplexLitanyComplexVariation
line_16,10,Simple litany with a high degree of variation in each repeat.,SimpleLitanyHighVariation
line_16,11,Simple litany with a moderate amount of variation in each repeat.,SimpleLitanyModerateVariation
line_16,12,Simple litany. One or two phrases repeated over and over again in the same order with little or no variation: A A A A or AB AB AB AB. Code here even when such a form is preceded by one or two phrases of introduction.,SimpleLitany
line_16,13,"Canonic or round form. Found only in certain types of polyphonic singing. The music is divided into two or more parts, each of which is rhythmically distinct. Each part is limited to one or two phrases repeated over and over. Simple rounds or canons are included here, and also the hocketing “bell chime” singing common among African Khoisan-speaking Bushmen and hunter-gatherers of Central and Eastern Africa.",CanonicForm
line_17,1,Very long phrases. Phrases that seem to run to the limit or beyond the limit of a singer’s breath capacity (16+ seconds).,VeryLongPhrases
line_17,4,Long phrases. An intermediate point between medium phrase lengths and very long phrases (10-15 seconds).,LongPhrases
line_17,7,Medium phrases. Normal for the familiar English ballad type (5-9 seconds).,MediumPhrases
line_17,10,Short phrases. (3-4 seconds).,ShortPhrases
line_17,13, Very short phrases. (1-2 seconds).,VeryShortPhrases
line_18,1,There are more than eight phrases before a full repeat.,MoreThanEightPhrases
line_18,3,There are five or seven phrases before a full repeat.,FiveSevenPhrases
line_18,5,"There are four or eight phrases, asymmetrically arranged.",FourEightPhrasesAsymmetrical
line_18,6,Four or eight phrases symmetrically arranged. All phrases are approximately the same length.,FourEightPhrasesSymmerical
line_18,8,"Three or six phrases, asymmetrically arranged.",ThreeSixPhrasesAsymmetrical
line_18,9,"Three or six phrases, symmetrically arranged.",ThreeSixPhrasesSymmetrical
line_18,11,Two phrases asymmetrically arranged.,TwoPhrasesAsymmetrical
line_18,13," One or two phrases, symmetrically arranged.",OneTwoPhrasesSymmetrical
line_19,1,The final tone is the lowest note of the song.,LowestNote
line_19,4,The final tone falls within the lower half of the total range.,LowerHalf
line_19,9,The final tone is located at or near the midpoint of the total range.,Midpoint
line_19,11,The final tone falls within the upper half of the total range.,UpperHalf
line_19,13,The final tone is the highest note of the song.,HighestNote
line_20,1,A monotone to a major second.,MonotoneMajorSecond
line_20,4,A minor third to a perfect fifth.,MinorThirdPerfectFifth
line_20,7,A minor sixth to an octave.,MinorSixthOctave
line_20,10,A minor ninth to a major fourteenth.,MinorNinthMajorFourteenth
line_20,13,Two octaves or more.,TwoOctavesOrMore
line_21,1,Monotone. No intervals occur. The song remains on approximately one pitch. A polyphonic song would be coded “monotone” if each part stays at the same pitch level.,Monotone
line_21,4,Narrow intervals. Intervals of a half step or less are prominent (though not necessarily predominant) in the song.,NarrowIntervals
line_21,7,Diatonic intervals. Diatonic melodies where whole step predominates.,DiatonicIntervals
line_21,10,Large intervals. Intervals of a third occur more frequently than other intervals.,LargeIntervals
line_21,13,Very large intervals. Intervals of a fourth and a fifth or larger predominate.,VeryLargeIntervals
line_22,1,No polyphony.,NoPolyphony
line_22,3,"Drone polyphony. One or more tones are held or repeated while the melody follows its own course. The drone part or parts need not necessarily remain on the same level throughout the song. The pitch of the drone can be shifted, while another part moves freely around it. Do not code drone polyphony when the drone effect is only a transitory one.",DronePolyphony
line_22,6,"Isolated chords. Chords occurring in a texture that is basically unison—chords that appear in a song otherwise sung in unison. Two different chords rarely succeed one another. In some cases, there may be only one chord in each section. If this chord tends to recur at the same point in each repetition, the song is coded 6. If not, the song is not considered polyphonic.",IsolateChords
line_22,8,"Parallel chords. Two or more parts moving parallel to one another at pitch intervals other than the octave or unison. Parallel means that the parts move in the same direction. The distance between the parts does not have to be maintained at exactly the same interval throughout, as long as the general movement is parallel.",ParallelChords
line_22,10,"Harmony. Contrary motion occurs. Some parts move downward while others move upward. This may also happen within the general context of parallel movement. As long as there is some significant amount of contrary motion, 10 can be coded.",Harmony
line_22,13,"Counterpoint. Two or more parts that are rhythmically and melodically independent. In all other cases except drone polyphony, the parts move together rhythmically. In counterpoint, as distinct from the drone, the parts are active melodically. 13 is coded when at least two parts are rhythmically active and contrastive.",Counterpoint
line_23,1,Extreme embellishment.,ExtremeEmbeillishment
line_23,4,Much embellishment.,MuchEmbeillishment
line_23,7,Medium or considerable embellishment.,MediumEmbellishment
line_23,10,Slight embellishment.,SlightEmbellishment
line_23,13,Little or no embellishment.,LittleOrNoEmbellishment
line_24,1,Very slow.,VerySlow
line_24,3,Quite slow.,QuiteSlow
line_24,5,Slow,Slow
line_24,9,Moderate tempo.,ModerateTempo
line_24,11,Fast.,Fast
line_24,13,Very fast.,VeryFast
line_25,1,Very soft.,VerySoft
line_25,4,Soft,Soft
line_25,7,Mid-volume.,MidVolume
line_25,10,Loud,Loud
line_25,13,Very loud.,VeryLoud
line_26,1,"Extreme rubato. If there is no beat, and the piece has already been coded 13 (Free rhythm) on Line 11 (Overall vocal rhythm), 1 is automatically coded.",ExtremeRubato
line_26,5,Much rubato.,MuchRubato
line_26,9,"Some rubato. A small amount of freedom—for example, if pauses of irregular length occur between sections or stanzas of the melody.",SomeRubato
line_26,13,No rubato. Strict conformity to the beat.,NoRubato
line_27,1,Extreme rubato.,ExtremeRubato
line_27,5,Much rubato.,MuchRubato
line_27,9,Some rubato.,SomeRubato
line_27,13,No rubato.,NoRubato
line_28,1,Maximal glissando. Glissando is extremely prominent.,MaximalGlissando
line_28,5,Prominent glissando.,ProminentGlissando
line_28,9,Some glissando.,SomeGlissando
line_28,13,Little or no glissando.,LittleOrNoGlissando
line_29,1,Much melisma. Most of the pitch changes are unarticulated.,MuchMelisma
line_29,7,Some melisma. Some of the pitch changes are unarticulated.,SomeMelisma
line_29,13,Little or no melisma. Syllabic: All of the pitch changes are articulated in separate syllables.,LittleOrNoMelisma
line_30,1,Much tremolo. Tremolo is heavy throughout the song.,MuchTremolo
line_30,4,Moderate tremolo.,ModerateTremolo.
line_30,7,"Some tremolo. Tremolo is present and noticeable, but relatively slight.",SomeTremolo
line_30,10,Slight tremolo.,SlightTremolo
line_30,13,Little or no tremolo,LittleTremolo
line_31,1,Much glottal. Strongly characterized by glottal activity.,MuchGlottal
line_31,7,Some glottal. Glottal activity present and noticeable.,SomeGlottal
line_31,13,Little or no glottal. Little or no glottal activity.,LittleOrNoGlottal
line_32,1,Very high. Usually falsetto in men.,VeryHigh
line_32,4,High. Usually head register.,HighestNote
line_32,7,Mid-voice.,MidVoice
line_32,10,Low. Usually sung “in the chest.”,Low
line_32,13,Very low. The singer is probably producing their lowest tone.,VeryLow
line_33,1,"Very narrow. The narrowest, squeezed, thin, and tense voices. The vocal cavities are narrowed and constricted by raising the glottis, raising the tongue and pulling it back, and tensing the muscles in the throat.",VeryNarrow
line_33,3,"Narrow. A markedly squeezed, narrow, and tense voice.",Narrow
line_33,6,"Speaking. Medium width, neither narrow and tense nor wide and relaxed, this voice often has a speech-like quality.",Speaking
line_33,8,"Wide. A relaxed, open-throated voice, usually evincing a considerable amount of resonance. This latter quality can be obscured by nasalization, which can be produced simultaneously.",Wide
line_33,10,"Very wide. A wide-open, resonant, often ringing or liquid voice",VeryWide
line_33,13,"Yodel. A distinctively liquid, wide-open, extremely relaxed way of singing. It is often, but not necessarily, characterized by quick, wide, and seemingly effortless leaps in pitch that pass from chesty tone to falsetto, or head tone, and back again.",Yodel
line_34,1,Extreme nasalization. Strongly nasalized throughout the performance.,ExtremeNasalization
line_34,4,"Marked nasalization. Marked nasalization, with definite but not extreme nasality running throughout the performance.",MarkedNasalization
line_34,7,"Intermittent nasalization. Nasality that occurs irregularly but clearly in the voice, as is frequently the case with singers of sub-Saharan African origin. This is the midpoint in the line and may be coded for songs that seem to be neither marked nor slight in their degree of nasality.",IntermittentNasalization
line_34,10,"Slight nasalization. Occasional touches of nasalization that do not occur in relationship to nasal consonants. This situation is encountered, for example, in the singing of many groups of Central Europe.",
line_34,13,"Little or no nasalization. Where nasalization occurs only in connection with nasal consonants, or where nasal consonants tend to be eliminated and little or no nasalization is heard.",LittleOrNoNasalization
line_35,1,"Extreme rasp. A markedly strident, hoarse, or grating singing voice.",ExtremeRasp
line_35,4,"Great rasp. Pronounced rasp, but less strident than above.",GreatRasp
line_35,7,"Intermittent rasp. Intermittent, or moderate and steady rasp.",IntermittentRasp
line_35,10,Slight rasp. Perceptible touches of rasp.,SlightRasp
line_35,13,None. Voices lack rasp.,None
line_36,1,"Very forceful accent, with powerful stresses falling on many notes.",VeryForcefulAccent
line_36,4,"Forceful accent, with strong accents falling on the main pulses of the meter.",ForcefulAccent
line_36,7,"Moderate accent, a moderate stress falling along the main beat pattern of the meter, clearly outlining but not exaggerating it.",ModerateAccent
line_36,10,"Relaxed accent, a relaxed handling of the accent pattern.",RelaxedAccent
line_36,13,"Very relaxed, absence of clear stresses, such that a flowing, sometimes understated, melodic line is produced.",VeryRelaxed
line_37,1,Very precise enunciation. Highly articulated consonants and syllables. This is generally typical of the storytelling singers of Eurasian polities.,VeryPreciseEnunciation
line_37,4,Precise enunciation. Clearly articulated consonants in sung texts. Here one listens to the whole consonantal range and makes certain that all consonants are easily discernible.,PreciseEnunciation
line_37,7,Moderate enunciation. A moderate degree of enunciation.,ModerateEnunciation
line_37,10,Softened enunciation. Consonants are hard to distinguish and syllables are run together to some degree.,SoftenedEnunciation
line_37,13,"Very softened enunciation. Situations in which consonants are absent or nearly absent from the text, and/or in which syllables are run together.",VerySoftenedEnunciation
