Society_latitude,Society_longitude,Homeland_latitude_of_diasporic_peoples,Homeland_longitude_of_diasporic_peoples,Area_latitude,Area_longitude,Region,Division,Subregion,Area,society,alternative_names,People,People_alternative_names,People2,People3,Preindustrial_Style_clusters,Focal_years,Koppen_climate_terrain,Koppen_code,Preindustrial_Subsistence_taxon,Taxon_id,cantometrics_samplesize,minutage_samplesize,parlametrics_samplesize,phonotactics_samplesize,Language,ISO6393,GlottoID,LevelGlottoID,LangLevParent,FamilyLevGlottocode,Country,Country_id,society_id,C_cid,M_cid,P_cid,Ph_cid,Ch_cid,EA_Prov_name,EA_Prov_#,Culture_Wiki,Society_summary,Notes_1,Notes_2,Culture Sources,"Priority_ranking_for_further_review (see worksheet ""Societies_ranked_for_review"")",HOW WELL WAS THE SOCIETY CHECKED BY KK?,KK_warning_or_question,ADMIN_NOTES_on_how_language_and_D-PLACE_matches_were_assigned,default_DPL_soc_id,default_DPL_PrefName,default_DPL_OrigName,xd_id_1,total_DPLACE_soc_w_xd_id,eHRAF_soc_w_xd_id?,eHRAF_OWC,eHRAF_OWC_Name,eHRAF_SubOWC_in_DPLACE,eHRAF_SubOWC_Name_in_DPLACE,eHRAF_subOWC_FINAL_STATUS_2021,Does_GJB_id_match_multiple_xd_ids,default_DPL_soc_id_2,default_DPL_PrefName_2,default_DPL_OrigName_2,xd_id_2,total_DPLACE_soc_w_xd_id_2,eHRAF_soc_w_xd_id_2?,eHRAF_OWC,eHRAF_OWC_Name,eHRAF_SubOWC_in_DPLACE,eHRAF_SubOWC_Name_in_DPLACE,eHRAF_subOWC_FINAL_STATUS_2021,STATUS_JULY_31_2021,language match checked by KK,D-PLACE match checked by KK,KK_ISSUE
9.83,14.48,,,8.61,15.09,Africa,Central Africa,N W Central Africa,N Cameroon/ S Chad,Mundang,,Mbum,,Camaroon-Ubangian,West & Central African Peoples,Tropical Gardeners,1994-1996,Semi Arid Steppe Hot,BSh,AH-Savannah,scfal890,1,,,,Mundang,ISO 639-3: mua,mund1325,language,mund1325,atla1278,Cameroon; Chad,,30025,30025,,,,,Ubangi-Shari,33,wiki,The Mundang of southern Chad and northern Cameroon speak a Mbum language in the Tupuri subfamily.,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomund1325 @Ethnomua @WikiMundang,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Ai15,Mundang,Mundang (Ai15),xd343,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
10.01,14.87,,,8.61,15.09,Africa,Central Africa,N W Central Africa,N Cameroon/ S Chad,Tupuri,,Mbum,,Camaroon-Ubangian,West & Central African Peoples,Tropical Gardeners,1994-1996,Semi Arid Steppe Hot,BSh,AH-Savannah,scfal950,1,,,,Tupuri,ISO 639-3: tui,tupu1244,language,tupu1244,atla1278,Cameroon; Chad,,30024,30024,,,,,Lake Chad,31,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottotupu1244 @Ethnotui @WikiTupuri,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match presumed correct based on similarity of society names; language assigned based on D-PLACE society,Ai20,Tupuri,Tuburi (Ai20),xd349,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
-8.98,14.89,,,-8.31,14.65,Africa,Central Africa,S Central Africa,N W Angola,Northern Mbundu,Ambundu,Ambundu,,Njila Peoples,West & Central African Peoples,Tropical Gardeners,1935-36,Tropical Savannah,Aw,AH-Sudan,scfal610,1,,,,Kimbundu,ISO 639-3: kmb,kimb1241,language,kimb1241,atla1278,Angola,,12794,12794,,,,,,,wiki,,,,@Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottokimb1241 @Ethnokmb @WikiAmbundu,10,VERY WELL,0,"Not matched to Ab5 (Mbundu or Ovimbundu): the Northern Mbundu (or Ambundu) are distinct from the Ovimbundu, which is the focus of the Ethnographic Atlas. The GJB society speaks Kimbundu (kimb1241) while the EA/SCCS societies speak umbu1257.",NONE,NONE,NONE,NONE,NONE,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,CHECKED_INTENSIVELY,DONE,DONE,
-4.31,27.24,,,-6.26,23.93,Africa,Central Africa,S Central Africa,S C DR Congo,Luba-Katanga,Baluba; Luba-Shankaji; Luba-Bambo,Luba,,Benue Congo Peoples,West & Central African Peoples,Tropical Gardeners,1952,"Tropical Savannah, Humid Subtropical,Humid Subtropical Oceanic Highland","Aw, Cwa, Cwb",AH-Tropical Forest,scfal760,1,,,,Luba-Katanga,,luba1250,language,luba1250,atla1278,Democratic Republic of the Congo,,20131,20131,,,,,Southern Equatorial Bantu,14,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @WikiLuba @Glottoluba1250,1,"WELL, BUT GIS MAPS NOT USED",0,KK web-based triangulation,Ae6,Luba,Luba (Ae6),xd182,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Prelim_check_GIS_not_used,DONE,DONE,
-7.77,27.59,,,-11.72,25.64,Africa,Central Africa,S Central Africa,S DR Congo/ N Zambia,Hemba,Eastern Luba,S C Bantu,,,West & Central African Peoples,Tropical Gardeners,1952,"Humid Subtropical, Humid Subtropical Oceanic Highland","Cwa, Cwb",,,1,,,,Hemba-Yazi,ISO 639-3: hem,hemb1242,language,hemb1242,atla1278,Democratic Republic of the Congo,,20142,20142,,,,,,,wiki,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottohemb1242 @Ethnohem @WikiHemba,10,"WELL, BUT GIS MAPS NOT USED",0,Unlikely to be a match to EA Ae6 based on lat/lon.,NONE,NONE,NONE,NONE,NONE,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Prelim_check_GIS_not_used,DONE,DONE,
0.44,14.79,,,2.74,10.44,Africa,Central Africa,W Equatorial Coast,S W Cameroon,Mboko Sawa,Bamboko,W Equatorial Bantu,,Equatorial Bantu,West & Central African Peoples,Tropical Gardeners,1946,Monsoon,Am,,,1,,,,Mboko,ISO 639-3: mdu,mbok1243,language,mbok1243,atla1278,Cameroon,,21093,21093,,,,,,,wiki,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottombok1243 @Ethnomdu @WikiMboko,10,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
-1.71,31.48,,,-2.04,31.15,Africa,East Africa,Great Lakes Africa,"Kagera Reg, N W Tanzania",Haya,,Lacustrine Bantu,,,East African Peoples,Tropical Gardeners,1950,Tropical Savannah,Aw,AH-African Climax,scfal968,1,,,,Haya,ISO 639-3: hay,haya1250,language,haya1250,atla1278,Tanzania,,16633,16633,,,,,Lacustrine Bantu,13,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottohaya1250 @Ethnohay @WikiHaya,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Ad42,Haya,Haya (Ad42),xd112,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
2.79,36.76,,,-3.55,36.02,Africa,East Africa,Great Lakes Africa,"Lake Turkana, N W Kenya",El Molo,Elmolo; Dehes; Fura-Pawa; Ldes,Turkana Basin Hunter Gatherers/ Mixed Cushites-Nilotes,,African Hunter-Gatherers,East African Peoples,African Gatherers,1972,Semi Arid Steppe Hot,BSh,,,1,,,,El Molo,ISO 639-3: elo,elmo1238,language,elmo1238,afro1255,Kenya,,30044,30044,,,,,,,wiki,The El Molo speak a nearly extinct Afro Asiatic language.,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiEl @Glottoelmo1238 @Ethnoelo,10,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
0.68,34.77,,,0.32,34.51,Africa,East Africa,Great Lakes Africa,"Luhyaland, W Kenya",Bukusu,BaBukusu; Kusu,Kenya Highlands Bantu,,,East African Peoples,Tropical Gardeners,1950,Tropical Savannah,Aw,,,1,,,,Bukusu,,buku1249,language,buku1249,atla1278,Kenya,,19377,19377,,,,,Lacustrine Bantu,13,wiki,The Bukusu are one of the seventeen Kenyan tribes of the Luhya Bantu people of East Africa.,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottobuku1249 @WikiBukusu,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match presumed correct based on similarity of society names; language assigned based on D-PLACE society,Ad41,Vugusu,Vugusu (Ad41),xd111,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
-3.3,36.77,,,-0.15,37.31,Africa,East Africa,Great Lakes Africa,"Mt Kenya, C Kenya",Meru,Ameru; Ngaa; Amîîrú,Kenya Highlands Bantu,,,East African Peoples,Tropical Gardeners,1957,Tropical Savannah,Aw,AH-Savannah,scfal883,1,,,,Meru,ISO 639-3: mer,meru1245,language,meru1245,atla1278,Kenya,,21253,21253,,,,,Kenya Highlands Bantu,12,wiki, ,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomeru1245 @Ethnomer @WikiMeru,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Ad35,Meru,Meru (Ad35),xd104,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
1.61,37.05,,,1.5,37.87,Africa,East Africa,Great Lakes Africa,N C Kenya,Samburu Maasai,Lokop; Loikop,Plains Nilotes,,,East African Peoples,African Pastoralists,1972,Semi Arid Steppe Hot,BSh,P-African Cattle Nomads,scfal1007,1,,,,Samburu,ISO 639-3: saq,samb1315,language,samb1315,nilo1247,Kenya,,30042,30042,,,,30042,Southern Nilotes,38,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottosamb1315 @Ethnosaq @WikiSamburu,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match presumed correct based on similarity of society names; language assigned based on D-PLACE society,Aj29,Samburu,Samburu (Aj29),xd405,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
9.31,42.12,,,9.28,42.19,Africa,East Africa,Horn of Africa,"Harari Reg, Ethiopia",Harari,Geyusu,Ethiopian Semitic Peoples,,,East African Peoples,African Pastoralists,1967,Semi Arid Steppe Hot,BSh,,,1,,,,Harari,ISO 639-3: har,hara1271,language,hara1271,afro1255,Ethiopia,,10137,10137,,,,,,,wiki,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottohara1271 @Ethnohar @WikiHarari,10,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
15.34,38.93,,,14.48,39.27,Africa,East Africa,Horn of Africa,Highland Ethiopia/ Eritrea,Tigrinya,Tigray-Tigrinya; Tigrigna,Ethiopian Semitic Peoples,,,East African Peoples,African Pastoralists,1972,"Semi Arid Steppe Hot, Tropical Savannah, Warm Subtropical","BSh, Aw, Cwa",,,1,,,,Tigrinya,ISO 639-3: tir,tigr1271,language,tigr1271,afro1255,Ethiopia,,27061,27061,,,,,Central Ethiopia,42,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottotigr1271 @Ethnotir @WikiTigrayans,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Ca3,Tigrinya,Tigrinya (Ca3),xd437,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
