Cu_lat,Cu_long,Area_lat,Area_long,Region,Division,Subregion,Area/Kingdom,Culture,Alt_culture_names,Arensberg-Lomax_clusters,Focal_years,C_sample_size,Koppen_climate_terrain,Koppen_code,Arensberg/Lomax_taxon,Taxon_id,Language,Lang_Family,Lang_Family_Tree,ISO_code,Glottocode,Country,culture_id,D-Place_Id,People/Culture
3.01,30.92,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",Mbuti,Bambuti,African Gatherers,1958; 1950s; 1952-53; 1952-57; 1954-58,13.0,"Monsoon, Tropical Savannah","Am, Aw",C-Africa,scfal6,Asoa,Central Sudanic,"Central Sudanic, Mangbetu-Asua, Mangbetuic",ISO 639-3: asv,asoa1238,Democratic Republic of the Congo,21132,,"The Mbuti are one of several native forest-dwelling hunter-gatherer (""pygmy"") groups in Africa's Congo region. The Mbuti people inhabit in the Ituri Forest, a tropical rainforest. They are mainly hunter-gatherers."
-4.31,27.34,-6.18,22.4,Africa,Central Africa,Equatorial Central Africa,"Kasaï-Central Prov, S DR Congo",Luba-Lulua,Luluwa,Tropical Gardeners,1957,1.0,"Monsoon, Tropical Savannah","Am, Aw",Unclassified Food Producers,scfal1247,Luba-Lulua,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, Luban, Lubaic",ISO 639-3: lua,luba1249,Democratic Republic of the Congo,20219,,
-5.65,19.83,-4.7,18.65,Africa,Central Africa,Equatorial Central Africa,"Kwilu Prov, S W DR Congo",Pende,Phende; Bapende; Baphende,Tropical Gardeners,1935-36,2.0,Tropical Savannah,Aw,Unclassified Food Producers,scfal1264,Kipende (Phende),Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Njila, Holu, Pheende-Kwezo",ISO 639-3: pem,phen1239,Democratic Republic of the Congo,23563,,
2.36,31.01,2.79,30.86,Africa,Central Africa,Equatorial Central Africa,N E DR Congo/ N W Uganda,Alur,Okoro; Jonam,African Pastoralists,1952,1.0,Tropical Savannah,Aw,AH-Savannah,scfal789,Alur,Nilotic,"Nilotic, Western Nilotic, Luo-Burun, Southern Lwoo, Adhola-Alur-Luo",ISO 639-3: alz,alur1250,Democratic Republic of the Congo; Uganda,10396,,"The Alur people of N W Uganda are known for their musical artistry (drums, harps, horns, singing, dancing), and for their uniquely pleasing art objects and material culture. "
-2.27,14.44,-2.07,15.37,Africa,Central Africa,Equatorial Central Africa,"Plateaux Dept, C Congo",Kukuya Teke,Kukẅa; Koukouya; Kikukuya,Tropical Gardeners,1946,1.0,"Monsoon, Tropical Savannah","Am, Aw",,,Teke-Kukuya,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Central Western Bantu, Njebe-Mbete-Teke",ISO 639-3: kkw,teke1280,Republic of the Congo,19014,,
2.16,13.78,1.89,15.94,Africa,Central Africa,Equatorial Central Africa,S E Cameroon/ S W Central African Rep/ N Congo/ N Gabon,Baka,Bebayaka; Bebayaga; Bibaya; Baka Pygmies; Bayaka,African Gatherers,1967-73; 1990-92,6.0,"Tropical Rainforest, Monsoon","Af, Am",,,Baka-Gundi,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Ubangi, Mundu-Baka",,baka1271,Cameroon,30015,,"The Baka people are a tribal group living in the S E rain forests of Cameroon, N Republic of the Congo, N Gabon, and S W Central African Republic. They are hunter-gatherers of the tropical rainforest of C W Africa and practice a semi-nomadic life style."
1.64,16.12,1.89,15.94,Africa,Central Africa,Equatorial Central Africa,S E Cameroon/ S W Central African Rep/ N Congo/ N Gabon,Ngundi,Baka-Gundi; Ngondi; Gundi; Ingundi; Ngwili- Mbum- Wimbum,Tropical Gardeners,1946,3.0,"Monsoon, Tropical Savannah","Am, Aw",,,Ngundi,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu ",ISO 639-3: ndn,ngun1270,Republic of the Congo,16292,,
1.68,16.16,3.5,16.66,Africa,Central Africa,Equatorial Central Africa,S W Central African Rep/ N Congo,Mbendjele,Bayaka; Biaka; Aka; Babinga; Babenzele,African Gatherers,1946; 1972-77,20.0,Tropical Savannah,Aw,,,Akan,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Lebonya",ISO 639-3: aka,akan1250,Republic of the Congo,11215,,
-5.12,18.04,-5.13,15.69,Africa,Central Africa,Equatorial Central Africa,S W DR Congo,Mbala,Ambala; Apeenzi; Bala; Bambala; Ba Mbala; Bampem; Bapeenzi; Bapene; Gimbala; Mbalas; Mu Mbala; Rumbala,Tropical Gardeners,1935-36,1.0,"Tropical Rainforest, Monsoon, Tropical Savannah","Af, Am, Aw",Unclassified Food Producers,scfal1252,Mbala,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Central Western Bantu",ISO 639-3: mdp,mbal1257,Democratic Republic of the Congo,21077,,
0.37,16.61,1.41,15.23,Africa,Central Africa,Equatorial Central Africa,"Sangha Dept, N Congo",Bongili,Bongiri; Bokiba; Ngiri,Tropical Gardeners,1946,2.0,Tropical Savannah,Aw,AH-Sudan,scfal678,Bongili,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Bantoid, Narrow Bantu, Central-Western Bantu, Likouala-Sangha, Mokiba-Ngando",ISO 639-3: bui,bong1284,Republic of the Congo,12480,,
0.74,23.91,0.42,24.96,Africa,Central Africa,Equatorial Central Africa,"Tshopo Prov, N C DR Congo",Topoke,Topoki; Eso; Geso; Poke; Puki; Tofoke,Tropical Gardeners,1959,10.0,"Tropical Rainforest, Monsoon  ","Af, Am",AH-Tropical Forest,scfal783,Poke,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, Kele, Kele-Poke, So-Poke",ISO 639-3: pof,poke1238,Democratic Republic of the Congo,27369,,
3.96,16.59,5.34,23.13,Africa,Central Africa,N Central Africa,Cameroon/ Central African Rep/ DR Congo/ South Sudan,Banda,,Tropical Gardeners,1964,1.0,Tropical Savannah,Aw,AH-Sudan,scfal596,Banda-Bambari,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Ubangi, Bandaic",ISO 639-3: liy,band1344,Cameroon; Central African Republic; Democratic Republic of the Congo; South Sudan,11584,,"Banda of the Central African Republic and neighbouring countries live in hamlets and scattered homesteads under local governance of a headman. They traditonally practice patrilineal descent. A large number of Banda people also live in Democratic Republic of the Congo and Cameroon, with some small numbers possibly in Sudan."
7.65,16.73,8.95,14.71,Africa,Central Africa,N Central Africa,Cameroon/ Chad,Masa,Chaddic Nilotes,Tropical Gardeners,c. 1950,1.0,Semi Arid Steppe Hot,BSh,AH-Savannah,scfal881,Masana,Afro-Asiatic,"Afro-Asiatic, Chadic, Masa, Masa-Gizey-Zumaya",ISO 639-3: mcn,masa1322,Cameroon; Chad,20945,,
5.95,15.26,3.5,17.19,Africa,Central Africa,N Central Africa,E C Cameroon/ W Central African Rep/ N Congo/ N W DR Congo ,Baya,Gbaya,Tropical Gardeners,1946,1.0,Tropical Savannah,Aw,AH-Tropical Forest,scfal719,Gbaya-Manza-Ngbaka,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, North Volta-Congo",,gbay1279,Cameroon; Central African Republic; Republic of the Congo,11892,,The Baya of S W Central African Republic traditionally observed patrilineal descent.
5.95,15.26,3.5,17.19,Africa,Central Africa,N Central Africa,E C Cameroon/ W Central African Rep/ N Congo/ N W DR Congo ,Gbaya Bodoe,,Tropical Gardeners,1977,5.0,Tropical Savannah,Aw,,,Bodoe,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, North Volta-Congo, Northwest Gbaya",,bodo1270,Central African Republic,30009,,
8.59,18.06,8.22,24.63,Africa,Central Africa,N Central Africa,N W Central African Rep/ S Chad/ S W Sudan,Sara Daye,Sara Peoples/ Chaddic Nilotes,Tropical Gardeners,1966,1.0,Tropical Savannah,Aw,AH-Savannah,scfal921,Sara Central Logone,Central Sudanic,"Central Sudanic, Sara-Bongo-Bagirmi, Saraic",,sara1345,Chad,30001,,
8.08,17.07,8.22,24.63,Africa,Central Africa,N Central Africa,N W Central African Rep/ S Chad/ S W Sudan,Sara Gor,Sara Peoples; Chaddic Nilotes,Tropical Gardeners,1966,1.0,"Tropical Savannah, Warm Desert (N Sudan)","Aw, BWh",AH-Savannah,scfal921,Gor,Central Sudanic,"Central Sudanic, Sara-Bongo-Bagirmi, Saraic, Sara Central Logone-Chari, Bediondo",ISO 639-3: gqr,gorr1238,Central African Republic; Chad; Sudan,30004,,
7.7,17.1,8.22,24.63,Africa,Central Africa,N Central Africa,N W Central African Rep/ S Chad/ S W Sudan,Sara Kaba,Sara Peoples/ Chaddic Nilotes,Tropical Gardeners,1966,3.0,Tropical Savannah,Aw,AH-Savannah,scfal921,Kaba,Central Sudanic,"Central Sudanic, Sara-Bongo-Bagirmi, SBB Occidental, Saraic, Sara Central, Gore",ISO 639-3: ksp,kaba1281,Chad,30003,,
11.01,18.29,8.22,24.63,Africa,Central Africa,N Central Africa,N W Central African Rep/ S Chad/ S W Sudan,Sara Madjingaye,Sara Peoples/ Chaddic Nilotes,Tropical Gardeners,1966,2.0,Tropical Savannah,Aw,AH-Savannah,scfal921,Sara,Central Sudanic,"Central Sudanic, Sara-Bongo-Bagirmi, SBB Occidental, Saraic",,cent2044,Central African Republic; Chad; Sudan,30006,,
4.62,26.72,5.08,27.44,Africa,Central Africa,N Central Africa,S E Central African Rep/ N E DR Congo/ South Sudan,Azande,Adio; Zande; Sandeh; Niam-Niam,Tropical Gardeners,1952; 1954,11.0,"Tropical Savannah, Monsoon","Aw, Am",AH-Rain Forest,scfal575,Zande,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, North Volta-Congo, Cameroun-Ubangian, Ubangi, Zandic, Zande-Nzakara",ISO 639-3: zne,zand1248,Central African Republic; Democratic Republic of the Congo; South Sudan,11155,,
4.23,30.01,5.85,28.0,Africa,Central Africa,N Central Africa,S W South Sudan,Mundu,,African Pastoralists,1958,1.0,"Tropical Savannah, Arid Steppe Hot","Aw, BSh",,,Mündü,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Bantu, Tsogo",ISO 639-3: muh,mund1326,South Sudan,21891,,"The Mundu are a C Sudanic people inhabiting the Maridi district in W Equatoria. Their culture and social ethics are represented in their songs, poetry, art, dance and folklore. "
5.87,11.61,4.67,11.91,Africa,Central Africa,N W Central Africa,"Centre Reg, Cameroon",Bedzan,Tikar; Medzan,African Gatherers,1995-2000,7.0,"Monsoon, Tropical Savannah","Am, Aw",,,Tikar,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Southern Bantoid, Narrow Bantu, Njila",ISO 639-3: tik,tika1246,Cameroon,30035,,
7.58,14.27,9.24,13.62,Africa,Central Africa,N W Central Africa,N Cameroon,Mbum,Mbubem; Bebaroe,Tropical Gardeners,1966,5.0,Semi Arid Steppe Hot,BSh,AH-Sudan,scfal668,Mbum,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, North Volta-Congo, Cameroun-Ubangian, Mbumic",ISO 639-3: mdd,mbum1254,Cameroon,21110,,
10.96,14.14,9.24,13.62,Africa,Central Africa,N W Central Africa,N Cameroon,Ouldeme,Uldeme,Tropical Gardeners,1994-1996,3.0,Semi Arid Steppe Hot,BSh,,,Wuzlam,Afro-Asiatic,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Tivoid",ISO 639-3: udl,wuzl1236,Cameroon,30026,,A Nilotic people of Northern Chad and Cameroon who speak a central Chadic Afro-Asiatic language.
8.14,13.08,10.45,14.73,Africa,Central Africa,N W Central Africa,N Cameroon/ Chad/ Central African Rep/ N E Nigeria,Adamawa Fulani,Bagirmi Fulani,African Pastoralists,1976,4.0,Tropical Savannah,Aw,,,Fula,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Central Western Bantu, Luban",ISO 639-3: ful,fula1264,Cameroon,30045,,"The Adamawa Fulani of Gazawa, Cameroon are part of the Fulani ethnic group, who are widely dispersed throughout West Africa but share a common language and cultural code of conduct known as pulaaku. Pulaaku consists of qualities like patience, self-control, hospitality, courage, and hard work. The Adamawa Fulani are mostly nomadic herders, raising cattle. Herding cattle is done by the men, while milking is women’s work. Cattle have symbolic importance and shape Fulani values. The Adamawa Fulani adopted Islam in the 15th century."
9.83,14.48,8.61,15.09,Africa,Central Africa,N W Central Africa,N Cameroon/ S Chad,Mundang,,Tropical Gardeners,1994-1996,1.0,Semi Arid Steppe Hot,BSh,AH-Savannah,scfal890,Mundang,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, North Volta-Congo, Cameroun-Ubangian, Mbumic",ISO 639-3: mua,mund1325,Cameroon; Chad,30025,,The Mundang of southern Chad and northern Cameroon speak a Mbum language in the Tupuri subfamily.
10.01,14.87,8.61,15.09,Africa,Central Africa,N W Central Africa,N Cameroon/ S Chad,Tupuri,,Tropical Gardeners,1994-1996,1.0,Semi Arid Steppe Hot,BSh,AH-Savannah,scfal950,Tupuri,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, North Volta-Congo, Cameroun-Ubangian, Mbumic",ISO 639-3: tui,tupu1244,Cameroon; Chad,30024,,
15.09,8.43,12.49,14.46,Africa,Central Africa,N W Central Africa,N E Cameroon/ W Central African Rep/ S W Chad/  N E DR Congo/ S Niger/ N Nigeria,Wodaabe,Fula; Fulɓe; Peul; Bororo; Mbororo; Wassolon,African Pastoralists,1948; 1959; 1987,12.0,Warm Desert,BWh,P-African Cattle Nomads; P-Moslem Sudan,scfal1009; scfal1015,Fula,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, East Bantu",ISO 639-3: ful,fula1264,Cameroon; Central African Republic; Niger,15544,,The Wodaabe people are subgroup of the Fulani ethnic group. The Wodaabe are commonly nomadic cattle-herders and traders. They are famouse for their detailed attire and unique cultural rituals.
5.49,10.85,5.53,10.82,Africa,Central Africa,N W Central Africa,N W Cameroon,Bamum,Bamoum; Bamun; Bamoun; Mum,Tropical Gardeners,1957,5.0,Tropical Savannah,Aw,AH-Sudan,scfal595,Bamun,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Bantoid, Wide Grassfields, Mbam-Nkam, Bamoun",ISO 639-3: bax,bamu1253,Cameroon,30193,,"The former Kingdom of Bamun, a pre-colonial state, was founded by the Bamun people in what is now northwest Cameroon."
6.14,10.12,6.46,10.79,Africa,Central Africa,N W Central Africa,N W Cameroon,Fut,Bafut; Bufe; Fu,Tropical Gardeners,1959,10.0,"Monsoon, Tropical Savannah","Am, Aw",AH-Sudan,scfal622,Bafut,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Bantu",ISO 639-3: bfd,bafu1246,Cameroon,15577,,
-9.66,21.41,-10.9,23.98,Africa,Central Africa,S Central Africa,Angola/ S DR Congo/ N W Zambia,Chokwe,Tchokwe,Tropical Gardeners,1963,1.0,Humid Subtropical,Cwa,AH-Tropical Forest,scfal728,Chokwe,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Bantu, Narrow Bantu, Chokwe-Lunda",ISO 639-3: cjk,chok1245,Angola,13795,,
-11.18,23.97,-10.9,23.98,Africa,Central Africa,S Central Africa,Angola/ S DR Congo/ N W Zambia,Lunda,Balunda; Luunda; Ruund,Tropical Gardeners,1957,11.0,Humid Subtropical,Cwa,,,Lunda,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, Njila, Chokwe-Lunda, Lunda-Ruund-Kete",ISO 639-3: lun,lund1266,Angola,20230,,
-12.95,30.23,-14.37,28.63,Africa,Central Africa,S Central Africa,C Zambia,Bantu Lala,,Tropical Gardeners,1957; 1963,10.0,Humid Subtropical,Cwa,AH-Sudan,scfal653,Lala-Bisa,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Central Western Bantu",ISO 639-3: leb,lala1264,Zambia,19614,,
-13.55,23.11,-12.07,24.01,Africa,Central Africa,S Central Africa,E Angola/ N W Zambia,Luvale,Lovale; Balovale; Luena; Lwena,Tropical Gardeners,1957,10.0,Humid Subtropical,Cwa,AH-Sudan,scfal661,Luvale,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Central Western Bantu",ISO 639-3: lue,luva1239,Angola; Zambia,20252,,
-7.32,23.61,-10.8,27.79,Africa,Central Africa,S Central Africa,"Haut-Katanga Prov, S E DR Congo",Kanioka,Kanyok; Balungu; Bena Kanioka; Bin Kaniok; Kaniaka; Kaniika,Tropical Gardeners,1957,3.0,"Humid Subtropical, Humid Subtropical Oceanic Highland","Cwa, Cwb",,,Kanyok,Atlantic-Congo,"Atlantic-Congo, Benue-Congo, Bantoid, Narrow Bantu, Luban, Lubaic",ISO 639-3: kny,kany1247,Democratic Republic of the Congo,17997,,
-8.98,14.89,-8.31,14.65,Africa,Central Africa,S Central Africa,N W Angola,Northern Mbundu,Ambundu,Tropical Gardeners,1935-36,1.0,Tropical Savannah,Aw,AH-Sudan,scfal610,Kimbundu/ Umbundu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Northern Njila, Mbundu",ISO 639-3: kmb,kimb1241,Angola,12794,,
-4.31,27.24,-6.26,23.93,Africa,Central Africa,S Central Africa,S C DR Congo,Luba,Baluba; Luba-Shankaji; Luba-Bambo,Tropical Gardeners,1952,12.0,"Tropical Savannah, Humid Subtropical,Humid Subtropical Oceanic Highland","Aw, Cwa, Cwb",AH-Tropical Forest,scfal760,Luba-Lulua,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, Luban, Lubaic",ISO 639-3: lua,luba1249,Democratic Republic of the Congo,20131,,
-11.63,29.02,-11.72,25.64,Africa,Central Africa,S Central Africa,S DR Congo/ N Zambia,Aushi Bemba,Ushi,Tropical Gardeners,1957,2.0,Humid Subtropical,Cwa,,,Aushi,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Sabi, Malungu-Central Sabi, Central Sabi, Bemba",ISO 639-3: auh,aush1241,Democratic Republic of the Congo; Zambia,11067,,
-10.61,29.31,-11.72,25.64,Africa,Central Africa,S Central Africa,S DR Congo/ N Zambia,Bemba,BaBemba; Awemba; BaWemba,Tropical Gardeners,1957,9.0,Humid Subtropical,Cwa,AH-Sudan,scfal600,Bemba (Zambia),Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, East Bantu",ISO 639-3: bem,bemb1257,Democratic Republic of the Congo; Zambia,12002,,
-7.77,27.59,-11.72,25.64,Africa,Central Africa,S Central Africa,S DR Congo/ N Zambia,Hemba,Eastern Luba,Tropical Gardeners,1952,1.0,"Humid Subtropical, Humid Subtropical Oceanic Highland","Cwa, Cwb",,,Hemba-Yazi,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Luban, Lubaic, Bangubangu-Kasai",ISO 639-3: hem,hemb1242,Democratic Republic of the Congo,20142,,
-0.92,13.01,-1.44,11.8,Africa,Central Africa,W Equatorial Coast,S C Gabon,Adouma,Duma,Tropical Gardeners,1946,2.0,Tropical Savannah,Aw,,,Duma,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Ndjavi B",ISO 639-3: dma,duma1253,Gabon,14807,,"The Adouma (Duma) people of Gabon, located in the Ogooue River region, are known as expert boatmen and canoe makers and in the past were slave traders. They worship spirits and ghosts and make remarkable masks for celebrations and rituals."
-0.01,11.71,-1.44,11.8,Africa,Central Africa,W Equatorial Coast,S C Gabon,Okande,Kande,Tropical Gardeners,1946,2.0,Tropical Savannah,Aw,,,Kande,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Southern Bantoid, Okani",ISO 639-3: kbs,kand1300,Gabon,23073,,"The Okande people are a small group living in Gabon, Africa. Despite exploitation, disease and violence, they have held tightly to their traditions and core beliefs. The Mwiri, a male initiation society, is the stronghold of tradition, customs, and religious beliefs of the Okande people. Members are in charge of rituals and ceremonies connecting them with the ancestors, who must be honored and respected. Cultural traditions are expressed through music and dance."
3.16,11.64,2.17,11.34,Africa,Central Africa,W Equatorial Coast,S Cameroon/ Equatorial Guinea/ N Gabon,Bulu,Boulou; Beti-Pahuin,Tropical Gardeners,1954,13.0,"Tropical Savannah, Monsoon","Aw, Am",AH-Tropical Forest,scfal725,Bulu (Cameroon),Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Yaunde-Fang",ISO 639-3: bum,bulu1251,Cameroon; Equatorial Guinea; Gabon,12783,,
1.72,11.61,2.17,11.34,Africa,Central Africa,W Equatorial Coast,S Cameroon/ Equatorial Guinea/ N Gabon,Fang,M'fang; Fān; Pahuin,Tropical Gardeners,1960; 1967,4.0,Monsoon,Am,,,Fang,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Bantoid, Narrow Bantu, Yaunde-Fang, Fang (Equatorial Guinea)",,fang1247,Equatorial Guinea; Gabon,30187,,"The Bantu-speaking Fang people of Gabon live in villages in forest clearings, in huts made of branches and twigs. Fang men gather in a large hut from which women are prohibited. The men’s hut is also where the bones of important ancestors of the clan are stored. The Fang worship their ancestors, believing that the spirits of their ancestors have the power to determine an individual’s life. The men hunt in the forest—buffalo, antelopes, chimpanzees, gorillas, and elephants. Women farm the fields, gather fruits, and fish in the rivers. The Fang are patriarchal and practice polygamy, each wife having her own hut where she lives with her children."
0.44,14.79,2.74,10.44,Africa,Central Africa,W Equatorial Coast,S W Cameroon,Mboko Sawa,Bamboko,Tropical Gardeners,1946,1.0,Monsoon,Am,,,Mboko,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Bantoid, Narrow Bantu, Central-Western Bantu, Koyo-Mboshi",ISO 639-3: mdu,mbok1243,Cameroon,21093,,
3.06,32.54,3.4,32.69,Africa,East Africa,Great Lakes Africa,"Acoli-land, N Uganda",Acoli,Luo; Acholi; Ugang; Shuli; Gang,African Pastoralists,1954,7.0,Tropical Savannah,Aw,AH-Savannah,scfal788,Acoli,Nilotic,"Nilotic, Luo-Burun, Southern Lwoo",ISO 639-3: ach,acol1236,Uganda,10099,,"Acholi people live in Acholi District of northern Uganda and the bordering area of the southern South Sudan. Drumming, singing, and dancing are traditionly remaining the major art forms of the Acholi."
