song_id,Local_lat,Local_long,Homeland_lat,Homeland_long,culture_id,Audio_notes,Duration,Archival_source#,Song,Genre,Song_notes,Performers,Instruments,Gender of Vocalists,Lyrics,Recorded_by,Year,Publisher,Publcation_collection,Repository
2144,-0.71,17.71,,,15027,Excerpt from continuous performances,0:07:00,"4A33.A1, pt. 1; WFS1B.22","Bobongo, Song-Dance Song Cycle, Part 1",Song For The Dead; Spirit Song; Dance Song,Songs to honor a dead person and banish other spirits.,Twelve men sing with two boyeke. ,12 Male Voices; 2 Boyeke,Men,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
2145,-0.74,18.11,,,15027,,0:03:19,4A33.B1,Nsi,Social Dance; Dance Song; Fish Song,"A social dance song begun by soloist. He is later joined by a second voice in duet, and finally a chorus of nine men, one of whom plays the boyeke. Nsi means fish.",Male leader with chorus of nine men and boyeke,Male Voice; 9 Male Voices; Boyeke,Men,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,Ekonda: Tribal Music of the Congo. Washington Records WLP709,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
2146,-0.71,17.71,,,15027,,0:01:48,"4A33.A1, pt. 3","Bobongo, Song-Dance Song Cycle, Part 3",Song For The Dead; Spirit Song; Dance Song,Songs to honor a dead person and banish other spirits.,Twelve men sing with two boyeke. ,12 Male Voices; 2 Boyeke,Men,,Alan P. Merriam; Barbara Merriam,1952,Washington Records,"Ekonda: Tribal Music of the Congo. Washington Records WLP709, New York","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
327,2.72,30.64,,,12662,,0:00:49,T67B.8,Men's Song1,Men's Song,Man accompanying himself with kundi for two songs.,"Male solo, kundi (harp)",Male Voice; Kundi (Harp),Men,,Colin M. Turnbull,1954,Previously Unpublished,Excerpts from Colin M. Turnbull's personal recordings from 1954 and 1958,"Research Library, American Museum of Natural History, New York; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
328,2.72,30.64,,,12662,,0:01:08,T67B.10,Men's Song2,Men's Song,Men sing with vocal ostinatos pulsating under soloist's interjections,Male chorus with mgundu,Male Voices; Mgundu,Men,,Colin M. Turnbull,1954,Previously Unpublished,Excerpts from Colin M. Turnbull's personal recordings from 1954 and 1958,"Research Library, American Museum of Natural History, New York; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
231,-4.03,21.75,,,20681,,0:01:18,"T67.1, pt. 1",Mumbariyo,Party Song,"Party song with Sous-Chef, Gamubu, and Chief Choga",Three men sing with mbira and basket rattle,3 Male Voices; Mbira: Basket Rattle,Men,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119-A11","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
232,0.51,25.19,,,20681,,0:01:32,"T67.1, pt. 2",Angela,Party Song; Dance Song; Bele,Party song (Bele Ko Fuka),Male chorus with mbira and basket rattle,Male Voices; Mbira (Thumb Piano); Basket Rattle,Men,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119-A12","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
233,0.51,25.19,,,20681,,0:01:25,"T66.5, pt. 1",Gowu,Nostalgic Song,A nostalgic song about how the Mombutu were defeated by the Bese. ,Francois Kokomedre sings with zither,Male Voice; Zither,Men,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119-A13","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
234,0.51,25.19,,,20681,,0:01:35,"T66.6, pt. 1",Toreku,Morality Song,Morality song,"Aibesi, Magombo with mixed group",Mixed Voices; Male Voice,Mixed adults,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119-A20","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
235,0.51,25.19,,,20681,,0:03:02,4A68.B7,Anare Mangede Udu-we,Sad Song; Political And Historical Song,A wistful song about how white men never helped the Mombutu people,"Eungane, female leader and mixed chorus with lizanzo, mbira, likembe, mbira",Female Voice; Mixed Voices; Lizanzo; Mbiras; Likembe,Mixed adults,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR118","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
2792,-4.03,21.75,,,20681,,0:01:34,4A68.B2,Mawa,Nostalgic Song; Chief's Song,Chief Makutana sings a nostalgic song,François Kokomendre sings with zither,Male Voice; Zither,Men,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR118","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
2794,0.51,25.19,,,20681,,0:03:02,T66.5 A,Gowu,Nostalgic Song,Nostalgic song,Male solo with likembe mbira,Male Voice; Likembe Mbira,Men,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
2795,0.51,25.19,,,20681,,0:01:23,4A68.A10,Oowa,Mourning Song; Lament For Dead Wife,A mourning song in which the singer weeps over the death of his wife.,Male solo,Male Voice,Men,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR118","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
3359,3.58,28.29,,,21044,,0:03:07,4A69.B7,Gbada 2,Dance Song,Dance song,"Bandana leads mixed group with gbe-komb, mbira, basket rattle",Mixed Voice; Gbe-Kombi; Mbira; Basket Rattle,Mixed adults,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
3360,3.58,28.29,,,21044,,0:01:32,4A69.B6,Agapa,Party Song,Party song,"Bandana leads mixed group with gbe-komb, mbira, basket rattle",Mixed Voices; Gbe-Kombi; Mbira; Rattle,Mixed adults,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
3361,3.58,28.29,,,21044,,0:03:01,4A69.A5,Makunda Zimaze,Dance Song,Dance song,"Chief Anga leads mixed group playing wooden cylindrical slit drum, small cylindrical drum, wooden pod drum, large conical drum, laced, metal double bell ","Mixed Voices; Wooden Cylindrical Slit Drum; Small Cylindrical Drum; Wooden Pod Drum; Large Conical Drum, Laced; Metal Double Bell",Mixed adults,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
3362,3.58,28.29,,,21044,,0:05:32,4A69.A4,Ebi,Dance Song,Ebi dance song,"Chief Anga with mixed group playing gudu-gudu slit drum, conical drum laced, closed, ndima, axe blades",Mixed Voices; Gudu-Gudu Slit Drum; Conical Drum Laced Closed: Ndima; Axe Blades,Mixed adults,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
3363,3.58,28.29,,,21044,,0:03:16,4A69.B2,Gbo,Dance Song,Gboi dance song,"Large Mayogo mixed group with wooden cylindrical slit drum, small cylindrical drum, wooden pod drum, large conical drum, laced, metal double bell ","Mixed Voices; Wooden Cylindrical Slit Drum; Small Cylindrical Drum; Wooden Pod Drum; Large Conical Drum, Laced; Metal Double Bell",Mixed adults,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
3364,3.58,28.29,,,21044,,0:01:38,4A69.B3,Gbada,Party Song; Dance Song; Song Of Well-Wishing,"Gbada party and dance song, wishing good health and happiness to the people.","Bandana with mixed group, and gbe-komb, mbira, basket rattle",Male Voice; Mixed Voices; Gbe-Kombi; Mbira; Basket Rattle,Mixed adults,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
3365,3.58,28.29,,,21044,,0:02:57,4A69.B4; WFS1B.20,Masi Asiibi Mbaya,Dance Song; Topical Song; Critical Song,Dance song about a woman who stole some maize.,"Bandani with mixed groiup, gbe-kombi mbira, basket rattle ",Male Voice; Mixed Voices; Gbe-Kombi; Mbira; Basket Rattle,Mixed adults,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
3366,3.58,28.29,,,21044,,0:03:23,4A69.B1,Congo Bereji,Dance Song,Ebi dance song,"Mixed group with large cylindrical slit drum, small cylindrical drum, pod drum, large conical drum, laced, and metal double bell ","Mixed Voices; Large Cylindrical Slit Drum; Small Cylindrical Drum; Pod Drum; Large Conical Drum, Laced; Metal Double Bell",Mixed adults,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
3367,3.58,28.29,,,21044,,0:01:23,4A68.A2,Kpadi Mangbokpa,Topical Song,Topical song on the influence of the Mangbetu on the Mayogo people,"Chief Anga with male group, basket rattle, kekese",Male Voice; Male Voices; Basket Rattle; Kekese,Men,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR118","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
3368,3.58,28.29,,,21044,,0:01:27,4A68.A1,Indondoli,Topical Song,Topical song on the influence of the Mangbetu on the Mayogo people.,Chief Anga with male group and  basket rattle,Male Voice; Male Voices; Basket Rattle; Kekese,Men,,Hugh Tracey,1949-50,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119-01","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
315,3.73,29.7,,,22331,,0:02:51,T66.8,Kugama,Topical Song; Ullulations,Topical song,"Zegbe with mixed group and domo (horizontal five string harp), ilikembe (lisanzo), sese (rattle), ullulating.",Male Voice; Mixed Voices; Ullulations; Domo; Likembe; Sese,Mixed adults,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119-06","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
316,3.73,29.7,,,22331,,0:02:52,T66.9,Chyoko,Funeral Song; Party Song; Ullulations,"A song sung after funerals, and at parties. It is sung as a canon.","Zegbe with mixed group and domo (horizontal five string harp), ilikembe (lisanzo), sese (rattle), ullulating.",Male Voice; Mixed Voices; Ullulations; Domo; Likembe; Sese,Mixed adults,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119-8","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
325,-0.79,29.04,,,15412,,0:01:16,T67B.1,Flute Orchestra,Flute & Mouth Music,"Vocal and flute ostinatos, with drum and and crowd noises.","Flute ensemble with drum, and crowd making mouth music",Mouth Percussion; Flutes; Crowd,,,Colin M. Turnbull,1954,Previously Unpublished,Excerpts from Colin M. Turnbull's personal recordings from 1954 and 1958,"Research Library, American Museum of Natural History, New York; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
326,-0.79,29.04,,,15412,,0:01:50,T67B.2,Female Chorus,Women's Song,Song showing Mbuti influences ,Female leader with girls' chorus and drum.,Female Voice; Mixed Voices; Lizanzo Mbira; Likembe Mbira,Girls; Women,,Colin M. Turnbull,1954,Previously Unpublished,Excerpts from Colin M. Turnbull's personal recordings from 1954 and 1958,"Research Library, American Museum of Natural History, New York; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
227,1.57,30.23,,,19801,,0:01:34,"T66.1A, pt. 1",Imbo Kunyangwa,Topical Song,"A topical song; the title translates as ""I Am Afraid of Being Beaten.""",Safare Dewu sings male solo with bonguma harp,Male Voice; Bonguma Harp,Men,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119-17","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
228,1.57,30.23,,,19801,,0:01:30,"T66.2, pt. 1",Abu Madzada,Self-Delectative Song,"A self-delectative song, sung in Balendu",Joseph Lidza sings solo with bonguma harp,Male Voice; Bonguma Harp,Men,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR",
229,1.57,30.23,,,19801,,0:01:42,"T66.1B, pt. 2",Taragina,Topical Song,"Aopical song about how the singer loved a girl, but she did not behave well. It is sung in Balendu",Safare Dewu sings male solo with bonguma harp,Female Voice; Mixed Voices; Lizanzo Mbira; Likembe Mbira,Mixed adults,,Hugh Tracey,1952,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR119-18","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
230,2.72,30.64,,,19856,DAT 5436: interference & decay in many tracks as did the DAT transfer from the original sources,0:01:12,T67B.6,Women's Ritual Peipa Song,Women's Song,Imitations of local Mbuti pygmies,Female chorus,Female Voices,Women,,Colin M. Turnbull,1958,Previously Unpublished,Excerpts from Colin M. Turnbull's personal recordings from 1954 and 1958,"Research Library, American Museum of Natural History, New York; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
9213,2.72,30.64,,,11600,Old audio file #T5523R32,0:02:24,4A22.A1; WFS7.32,Quiet Song,Quiet Song,"""This young BaNguana, Abdel Aziz, accompanies himself on a small instrument made from a hollowed-out piece of wood (6"" x 4"" x 1 1/2"") to which ten metal keys are fitted, passing over a bridge and bound at one end with vine. Eaeh tribe has its own particular tuning for these keys, sliding them in or out to vary the pitch. Originally the keys were made of bamboo, but today old umbrella stays are found to be more convenient, and require little hammering out.

Like many of his tribe, Abdul Aziz sings in a quiet falsetto. His joy in the music lies mainly in his skill with the lukembi. He shakes his head from side to side as he sings :

""Ah me! I've lost my wife, and don't
know where to find her."" Then, after a
miniature cadenza on the lukembi:
""Alas, alas, and now I've lost my hen. ""

This is typical of the plaintive little song you might hear in any Ituri village, as the player lolls back in a chair on his veranda, gazing up at the sky, the lukembi held loosely between his knees. Lukembis are also used when walking from one village to another. Known by many different names elsewhere (the best known perhaps being sansa) this instrument is probably the most common of all musical instruments south of the Sahara. The number of keys and the tuning varies from tribe to tribe, as does the construction. Instead of the box construction described above, the keys may be fitted to a flat board which inturn may be placed in a calabash to add resonance."" (Colin M. Turnbull and Francis S. Chapman, Music of the Ituri Forest, Ethnic Folkways Library, Album No. FE 4483, 1957)",Abdel Aziz sings with lukemba,Male Voice; Lukemba,Men,,Colin M. Turnbull; Francis S. Chapman,1958,Smithsonian Folkways,"Music of the Ituri Forest. Folkways Records FE4483, 1957","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
9255,2.72,30.64,,,11600,,0:01:03,4A22.A4; WFS1B.33,Banguana Devotional Song,Religious Song; Devotional Song; Muslim Devotional Song,"The connection between the BaNguana tribe with the Arabs was close at all times, and they were early converted to Islam. This particular song is one of their religious songs, where children and women are also take part. However, it is not an accepted practice amongst more orthodox Muslims. The drum, that's used during this perofmance, is the small box drum found among the Arabs, played with the fingers and palms. In most of the Aribise songs, the ritual grunting is a feature and it can be heard quite plainly in this recording. Musafili's sub-chief starts the song, then Musafili takes over and the solo alternates between the two of them. In the background, crickets and a brewing thunderstorm could be heard. (Colin M. Turnbull and Francis S. Chapman, Music of the Ituri Forest, Ethnic Folkways Library, Album No. FE 4483, 1957)","Mixed chorus, drum",Mixed Voices; Drum,Mixed adults,,Colin M. Turnbull; Francis S. Chapman,1958,Smithsonian Folkways,"Music of the Ituri Forest. Folkways Records FE4483, 1957","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
249,2.72,30.64,,,21132,,0:00:45,T67B.19,Elephant Song,Hunting Song; Animal Song,Hunting song sung in forest,"Mixed chorus, clapping",Mixed Voices; Clapping,Mixed adults,,Colin M. Turnbull,1958,Smithsonian Folkways,"Music of the Ituri Forest. Folkways Records FE4483, 1957","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
250,2.72,30.64,,,21132,,0:01:37,T67B.18,Leaf-Carrying Songs,Work Song,Women's songs sung while resting in the forest,"Female chorus, occasional solos, sticks",Female Voices; Occasional Solos; Sticks,Women,,Colin M. Turnbull,1958,Previously Unpublished,Excerpts from Colin M. Turnbull's personal recordings from 1954 and 1958,"Research Library, American Museum of Natural History, New York; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
251,2.72,30.64,,,21132,,0:04:02,4A22.A6,Dance Music,Dance Song,"""While this is a typical Pygmy dance, it is only typical of pygmies when they are down in the non-Pygmy village, in an act of showmanship. Their dancing in the forest is equally fine, in many respects a great deal finer, but it is accompanied only by song, sticks and handclaps. In the village they borrow drums, clappers and a mgungu gong. 

A steady stick beat that never falters through the dance starts the music. The ""birds"" in the background are in fact Pygmies. The mgungu, drums and voices corne in together and the dance begins with little delay. The hooting sound which could be mistaken for horns is also made by Pygmies. They form a circle, women facing men. They hoot a chorus, with snatches of solo being passed from one to another, singing encouragement as each dancer leaps into the center and performs in turn. The dancing is a game between feet and drum, the drum leading the feet for a while, then the dancer suddenly syncopating his step and making the drum follow him. After displaying his virtuosity as a dancer he jigs along the line of girls and eventually leads one out into the center for a brisk whirl. Both return to their places and another couple takes the floor. As dancers the Pygmies are inexhaustible. Dancing by firelight into the early hours of the morning, they truly earn the title given them by the ancient Egyptians: The Dancers of God."" (Colin M. Turnbull and Francis S. Chapman, Music of the Ituri Music, Ethnic Folkways Library, Album No. FE 4483, 1957)  ","Male voices, clapping, mgungu gong, drums, sticks",Male Voices; Clapping; Mgungu Gong; Drums; Sticks,Men,,Colin M. Turnbull; Francis S. Chapman,1958,Smithsonian Folkways,"Music of the Ituri Forest. Folkways Records FE4483, 1957","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
252,2.72,30.64,,,21132,,0:00:54,T67B.16,Hunting Song,Hunting Song,"Hunting song, song sung in village","Male chorus, occasional solos, sticks",Male Voices; Occasional Solos; Sticks,Men,,Colin M. Turnbull,1958,Previously Unpublished,Excerpts from Colin M. Turnbull's personal recordings from 1954 and 1958,"Research Library, American Museum of Natural History, New York; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
253,-0.65,29.5,,,21132,,0:01:07,T67.7C,Iyo-o-u-o,Wedding Song; Women's Song,"Women's wedding song, three women in polyrhythmic, interwoven melodic lines.","Moisi, Magdalena, Teresa, female trio",3 Female Voices,Women,,Hugh Tracey,1952-53,ILAM; Smithsonian Folkways,"The Sounds of Africa, International Library of African Music AMA TR125-A5","The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University, Grahamstown, South Africa; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress"
