society_id,Society_latitude,Society_longitude,Homeland_latitude_of_diasporic_peoples,Homeland_longitude_of_diasporic_peoples,Area_latitude,Area_longitude,Region,Division,Subregion,Area,society,alternative_names,People,People_alternative_names,People2,People3,Preindustrial_Style_clusters,Focal_years,Koppen_climate_terrain,Koppen_code,Preindustrial_Subsistence_taxon,Taxon_id,cantometrics_samplesize,minutage_samplesize,parlametrics_samplesize,phonotactics_samplesize,Language,ISO6393,GlottoID,LevelGlottoID,LangLevParent,FamilyLevGlottocode,Country,Country_id,Society_summary,Notes_1,Notes_2,Culture Sources
30025,9.83,14.48,,,8.61,15.09,Africa,Central Africa,N W Central Africa,N Cameroon/ S Chad,Mundang,,Mbum,,Camaroon-Ubangian,West & Central African Peoples,Tropical Gardeners,1994-1996,Semi Arid Steppe Hot,BSh,AH-Savannah,scfal890,1.0,,,,Mundang,ISO 639-3: mua,mund1325,language,mund1325,atla1278,Cameroon; Chad,,The Mundang of southern Chad and northern Cameroon speak a Mbum language in the Tupuri subfamily.,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomund1325 @Ethnomua @WikiMundang
30024,10.01,14.87,,,8.61,15.09,Africa,Central Africa,N W Central Africa,N Cameroon/ S Chad,Tupuri,,Mbum,,Camaroon-Ubangian,West & Central African Peoples,Tropical Gardeners,1994-1996,Semi Arid Steppe Hot,BSh,AH-Savannah,scfal950,1.0,,,,Tupuri,ISO 639-3: tui,tupu1244,language,tupu1244,atla1278,Cameroon; Chad,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottotupu1244 @Ethnotui @WikiTupuri
12794,-8.98,14.89,,,-8.31,14.65,Africa,Central Africa,S Central Africa,N W Angola,Northern Mbundu,Ambundu,Ambundu,,Njila Peoples,West & Central African Peoples,Tropical Gardeners,1935-36,Tropical Savannah,Aw,AH-Sudan,scfal610,1.0,,,,Kimbundu,ISO 639-3: kmb,kimb1241,language,kimb1241,atla1278,Angola,,,,,@Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottokimb1241 @Ethnokmb @WikiAmbundu
20131,-4.31,27.24,,,-6.26,23.93,Africa,Central Africa,S Central Africa,S C DR Congo,Luba-Katanga,Baluba; Luba-Shankaji; Luba-Bambo,Luba,,Benue Congo Peoples,West & Central African Peoples,Tropical Gardeners,1952,"Tropical Savannah, Humid Subtropical,Humid Subtropical Oceanic Highland","Aw, Cwa, Cwb",AH-Tropical Forest,scfal760,1.0,,,,Luba-Katanga,,luba1250,language,luba1250,atla1278,Democratic Republic of the Congo,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @WikiLuba @Glottoluba1250
20142,-7.77,27.59,,,-11.72,25.64,Africa,Central Africa,S Central Africa,S DR Congo/ N Zambia,Hemba,Eastern Luba,S C Bantu,,,West & Central African Peoples,Tropical Gardeners,1952,"Humid Subtropical, Humid Subtropical Oceanic Highland","Cwa, Cwb",,,1.0,,,,Hemba-Yazi,ISO 639-3: hem,hemb1242,language,hemb1242,atla1278,Democratic Republic of the Congo,,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottohemb1242 @Ethnohem @WikiHemba
21093,0.44,14.79,,,2.74,10.44,Africa,Central Africa,W Equatorial Coast,S W Cameroon,Mboko Sawa,Bamboko,W Equatorial Bantu,,Equatorial Bantu,West & Central African Peoples,Tropical Gardeners,1946,Monsoon,Am,,,1.0,,,,Mboko,ISO 639-3: mdu,mbok1243,language,mbok1243,atla1278,Cameroon,,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottombok1243 @Ethnomdu @WikiMboko
16633,-1.71,31.48,,,-2.04,31.15,Africa,East Africa,Great Lakes Africa,"Kagera Reg, N W Tanzania",Haya,,Lacustrine Bantu,,,East African Peoples,Tropical Gardeners,1950,Tropical Savannah,Aw,AH-African Climax,scfal968,1.0,,,,Haya,ISO 639-3: hay,haya1250,language,haya1250,atla1278,Tanzania,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottohaya1250 @Ethnohay @WikiHaya
30044,2.79,36.76,,,-3.55,36.02,Africa,East Africa,Great Lakes Africa,"Lake Turkana, N W Kenya",El Molo,Elmolo; Dehes; Fura-Pawa; Ldes,Turkana Basin Hunter Gatherers/ Mixed Cushites-Nilotes,,African Hunter-Gatherers,East African Peoples,African Gatherers,1972,Semi Arid Steppe Hot,BSh,,,1.0,,,,El Molo,ISO 639-3: elo,elmo1238,language,elmo1238,afro1255,Kenya,,The El Molo speak a nearly extinct Afro Asiatic language.,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiEl @Glottoelmo1238 @Ethnoelo
19377,0.68,34.77,,,0.32,34.51,Africa,East Africa,Great Lakes Africa,"Luhyaland, W Kenya",Bukusu,BaBukusu; Kusu,Kenya Highlands Bantu,,,East African Peoples,Tropical Gardeners,1950,Tropical Savannah,Aw,,,1.0,,,,Bukusu,,buku1249,language,buku1249,atla1278,Kenya,,The Bukusu are one of the seventeen Kenyan tribes of the Luhya Bantu people of East Africa.,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottobuku1249 @WikiBukusu
21253,-3.3,36.77,,,-0.15,37.31,Africa,East Africa,Great Lakes Africa,"Mt Kenya, C Kenya",Meru,Ameru; Ngaa; Amîîrú,Kenya Highlands Bantu,,,East African Peoples,Tropical Gardeners,1957,Tropical Savannah,Aw,AH-Savannah,scfal883,1.0,,,,Meru,ISO 639-3: mer,meru1245,language,meru1245,atla1278,Kenya,, ,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomeru1245 @Ethnomer @WikiMeru
30042,1.61,37.05,,,1.5,37.87,Africa,East Africa,Great Lakes Africa,N C Kenya,Samburu Maasai,Lokop; Loikop,Plains Nilotes,,,East African Peoples,African Pastoralists,1972,Semi Arid Steppe Hot,BSh,P-African Cattle Nomads,scfal1007,1.0,,,,Samburu,ISO 639-3: saq,samb1315,language,samb1315,nilo1247,Kenya,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottosamb1315 @Ethnosaq @WikiSamburu
10137,9.31,42.12,,,9.28,42.19,Africa,East Africa,Horn of Africa,"Harari Reg, Ethiopia",Harari,Geyusu,Ethiopian Semitic Peoples,,,East African Peoples,African Pastoralists,1967,Semi Arid Steppe Hot,BSh,,,1.0,,,,Harari,ISO 639-3: har,hara1271,language,hara1271,afro1255,Ethiopia,,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottohara1271 @Ethnohar @WikiHarari
27061,15.34,38.93,,,14.48,39.27,Africa,East Africa,Horn of Africa,Highland Ethiopia/ Eritrea,Tigrinya,Tigray-Tigrinya; Tigrigna,Ethiopian Semitic Peoples,,,East African Peoples,African Pastoralists,1972,"Semi Arid Steppe Hot, Tropical Savannah, Warm Subtropical","BSh, Aw, Cwa",,,1.0,,,,Tigrinya,ISO 639-3: tir,tigr1271,language,tigr1271,afro1255,Ethiopia,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottotigr1271 @Ethnotir @WikiTigrayans
11490,6.91,37.23,,,7.09,40.04,Africa,East Africa,Horn of Africa,"Oromia, Ethiopia",Bale Oromo,Oromo,Oromo Lowland E Cushites,,,East African Peoples,African Pastoralists,1972,Semi Arid Steppe Hot,BSh,,,1.0,,,,Nuclear Oromo,,nucl1736,family,NA_ASSIGN_ONCE_FAMILY-LEVEL_GLOTTOCODE_IS_RESOLVED,afro1255,Ethiopia,,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottonucl1736 @WikiOromo
15890,5.64,37.36,,,6.67,36.31,Africa,East Africa,Horn of Africa,"Southern Nations, Nationalities & People Region, S W Ethiopia",Gidole,"Gardulla, Dirashe",Lowland E Cushites,,,East African Peoples,Tropical Gardeners,1965,Tropical Savannah,Aw,,,1.0,,,,Dirasha,ISO 639-3: gdl,dira1242,language,dira1242,afro1255,Ethiopia,,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottodira1242 @Ethnogdl @WikiGidole
21951,5.71,36.11,,,6.67,36.31,Africa,East Africa,Horn of Africa,"Southern Nations, Nationalities & People Region, S W Ethiopia",Mursi,Mun,Surmic Peoples,,,East African Peoples,Tropical Gardeners,1971-87,Tropical Savannah,Aw,,,1.0,,,,Mursi,ISO 639-3: muz,murs1242,language,murs1242,surm1244,Ethiopia,,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottomurs1242 @Ethnomuz @WikiMursi
10445,-18.89,47.53,,,-13.5,48.99,Africa,East Africa,Indian Ocean Islands,Madagascar N Coastal Lowlands,Antankarana,Ambilobe,Coastal Malagasy Peoples,,Coastal Malagasy Peoples,East African Peoples,Tropical Gardeners,1939,Tropical Savannah,Aw,,,1.0,,,,Antankarana Malagasy,ISO 639-3: xmv,anta1255,language,anta1255,aust1307,Madagascar,,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoanta1255 @Ethnoxmv @WikiAntankarana
62572,-23.72,44.38,,,-17.12,44.54,Africa,East Africa,Indian Ocean Islands,Madagascar W Coastal Lowlands,Masikoro,,Sakalava People,,Coastal Malagasy Peoples,East African Peoples,Tropical Gardeners,1966,Semi Arid Steppe Hot,BSh,,,1.0,,,,Masikoro Malagasy,,masi1268,language,masi1268,aust1307,Madagascar,,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiMasikoro @Glottomasi1268
62569,22.19,36.33,,,22.0,35.0,Africa,East Africa,Nile Valley,Atbai Desert,Bishari,al-Bishāriyyah; al-Bishāriyyīn; Oobshaari; Bisharin; Bicharin,Beja Cushites,,,East African Peoples,African Pastoralists,1958,Warm Desert,BWh,,,1.0,,,,Bisharin,,bish1251,dialect,beja1238,afro1255,Egypt; Sudan,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiBishariTribe @Glottobish1251
30150,35,-4.0,,,31.52,-6.85,Africa,Northern Africa,Maghreb,"Atlas Mountains, Morocco",Riffians,Irifiyen; Riyafa; Rwafa,Atlas Berbers,,Berbers,North African Peoples,Old Eurasia,,Warm Mediterranean,Csa,PA-Middle East,scfal1183,1.0,,1.0,,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,,tari1263,language,tari1263,afro1255,Morocco,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @WikiRiffians @Glottotari1263 @Lomax1971-72Parlametrics
26195,29.26,0.23,,,29.35,0.39,Africa,Northern Africa,Maghreb,"Gourara Reg, C Algeria",Sudanese Gourara,,Sudanese Nilotes,,Nilotic Peoples,North African Peoples,Old Eurasia,1975,Warm Desert,BWh,PA-Middle East,,1.0,,,,Sud Oranais-Gourara,,tazn1238,language,tazn1238,afro1255,Algeria,,"The Tuareg are Berbers who live as semi-nomadic pastoralists in Adrar des Iforas, southern Algeria and Gourara, Timimoun in northern and central Algeria. Historically they once controlled the caravan trade routes across the Sahara. Their economy is based on breeding livestock, agriculture, growing mostly sugarcane and cotton, and trade. They still practice their indigenous religion, believing that most spirits are evil and cause illness. Spirits, called jinn, are believed to play tricks on people who travel the desert. Tuareg women have great freedom and participate in family and tribal decisions and do not wear veils. Their myths speak of female ancestors who founded their traditions which are expressed through traditional music, poetry, and song performed and danced by men and women. In one traditional dance, men on camels circle women who play drums and chant.",,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottotazn1238
28810,-32.26,28.5,,,-32.26,28.5,Africa,Southern Africa,Coastal Southern Africa,"Gcalekaland, Eastern Cape Prov, South Africa",Gcaleka Xhosa,umGcaleka; amaGcaleka,Nguni S Bantu,,Nguni Peoples,Southern African Peoples,Tropical Gardeners,1957,Humid Subtropical Oceanic Highland,Cwb,,,1.0,,,,Xhosa,ISO 639-3: xho,geal1238,dialect,xhos1239,atla1278,South Africa,,,"Previously this society was named ""Xhosa."" In September 2021, it was renamed ""Gcaleka Xhosa"" and language changed to geal1238 based on the liner notes of the songs associated with this society.",,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiXhosa @Glottogeal1238 @Ethnoxho
62564,-30.92,28.98,,,-30.92,28.98,Africa,Southern Africa,Coastal Southern Africa,"KwaBhaca, Eastern Cape Prov, South Africa",Bhaca,amaBhaca; Zelemu; AbakwaZelemu,Nguni S Bantu,,Nguni Peoples,Southern African Peoples,Tropical Gardeners,1957,"Temperate Oceanic, Humid Subtropical Oceanic Highland","Cfb, Cwb",,,1.0,1.0,,,Bhaca,,bhac1238,dialect,xhos1239,atla1278,South Africa,,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottobhac1238 @WikiBhaca @Lomax1966-72Minutage
22573,-11.78,37.41,,,-14.05,31.33,Africa,Southern Africa,E Southern Africa,Malawi/ Mozambique/ Tanzania/ Zambia/ Zimbabwe,Ngoni Zulu,,Nguni S Bantu,,Nguni Peoples,Southern African Peoples,Tropical Gardeners,1957,"Humid Subtropical, Tropical Savanna","Cwa, Aw",AH-Savannah,scfal897,1.0,,,,Tanzania-Mozambique Ngoni,,ngon1269,language,ngon1269,atla1278,Malawi; Mozambique; Tanzania; Zambia,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @WikiNgoni @Glottongon1269
26797,-31.67,27.98,,,-31.6,28.96,Africa,Southern Africa,E Southern Africa,"Thembuland, Eastern Cape Prov, South Africa",Thembu Xhosa,Tembu,Nguni S Bantu,,Nguni Peoples,Southern African Peoples,Tropical Gardeners,1957,Temperate Oceanic,Cfb,,,1.0,,,,Thembu,ISO 639-3: xho,them1241,dialect,xhos1239,atla1278,South Africa,,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiThembu @Glottothem1241
30163,6.46,0.81,,,6.97,1.14,Africa,West Africa,Benin/ Ghana/ Togo,S W Benin/ S E Ghana/ S Togo,Ewe,Eʋe; Eʋeawó,Gbe Peoples,,,West & Central African Peoples,Tropical Gardeners,,Tropical Savannah,Aw,AH-Tropical Forest,scfal739,1.0,,1.0,,Ewe,ISO 639-3: ewe,ewee1241,language,ewee1241,atla1278,Ghana,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoewee1241 @Ethnoewe @WikiEwe @Lomax1971-72Parlametrics
17755,8.97,0.82,,,10.7,0.99,Africa,West Africa,Benin/ Togo,N W Benin/ N Togo,Kabiyé,Kabiye; Cabrai; Kabiemba; Kabrema; Kabye,Gur Peoples,,,West & Central African Peoples,Tropical Gardeners,1948,Tropical Savannah,Aw,AH-Sudan,scfal635,1.0,,,,Kabiyé,ISO 639-3: kbp,kabi1261,language,kabi1261,atla1278,Togo,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottokabi1261 @Ethnokbp @WikiKabye
15868,7.94,-1.02,,,5.55,-0.26,Africa,West Africa,Ghana,Ghana Coast,Ghana: Urban,Ghanaian,Akan Peoples,,Tano Peoples,West & Central African Peoples,Tropical Gardeners,1963,Tropical Savannah,Aw,AH-Waterside,,1.0,,,,Akan,ISO 639-3: aka,akan1250,language,akan1250,atla1278,Ghana,,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoakan1250 @Ethnoaka @WikiAccra
10649,9.99,8.82,,,9.03,9.47,Africa,West Africa,Nigeria,"Plateau State, C Nigerian Plateau",Angas,Ngas,Angas Chadic Peoples,,Chadic Peoples,West & Central African Peoples,Tropical Gardeners,1966,Tropical Savannah,Aw,AH-Sudan,scfal591,1.0,,,,Ngas,ISO 639-3: anc,ngas1240,language,ngas1240,afro1255,Nigeria,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottongas1240 @Ethnoanc @WikiAnga
15929,7.23,-8.25,,,7.31,-8.34,Africa,West Africa,S W West Africa,Ivory Coast/ N E Liberia,Dan,Dan,Eastrn Mandé,,Mandé Peoples,West & Central African Peoples,Tropical Gardeners,1954,Tropical Savannah,Aw,AH-Sudan,scfal616,1.0,,,,Dan,ISO 639-3: daf,dann1241,language,dann1241,mand1469,Ivory Coast; Liberia,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottodann1241 @Ethnodaf @WikiGio
19086,5.87,-8.93,,,6.69,-9.71,Africa,West Africa,S W West Africa,Liberia,Kru,,Kru,,Volta Congo Peoples,West & Central African Peoples,Tropical Gardeners,1954,Monsoon,Am,AH-Sudan,scfal648,1.0,,,,Klao,,klao1243,language,klao1243,atla1278,Liberia,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @WikiKru @Glottoklao1243
19053,6.92,-9.96,,,7.55,-8.49,Africa,West Africa,S W West Africa,S Guinea/ N W Ivory Coast/ C Liberia,Kpelle,Guerze; Kpwesi; Sprd; Mpessi; Berlu; Gizima,Western Mandé,,Mandé Peoples,West & Central African Peoples,Tropical Gardeners,1954,Monsoon,Am,AH-Sudan,scfal646,1.0,,,,Liberia Kpelle,,libe1247,language,libe1247,mand1469,Guinea; Liberia,,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @WikiKpelle @Glottolibe1247
30067,-14.14,133.01,,,-14.96,133.23,Australia,Northern Territory,Arnhem Land,Roper R Reg,Jawoyn,Djauan; Tjauen; Djouan; Djauun; Jawin; Chau-an; Tweinbol; Adowen; Djawin; Djawun; Djauwung; Charmong,Gunwinyguan Peoples,,,Indigenous Australians,Circum-Pacific Hunter/ Foragers,1948,Tropical Savannah,Aw,,,1.0,1.0,,1.0,Jawoyn,ISO 639-3: djn,djau1244,language,djau1244,gunw1250,Australia,,"The Jawoyn live in a remote area in the Northern Territory, home of Aboriginal rock art dating back thousands of years. Mining brought contact with Europeans in 1913. Their labor was exploited, but later a deal was negotiated with the mining company allowing mining in exchange for hiring Aboriginal workers, providing scholarships, and promoting tourism.",,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottodjau1244 @Ethnodjn @WikiJawoyn @Lomax1966-72Minutage @Lomax1961-62Phonotactics
30076,-14.52,132.86,,,-14.96,133.23,Australia,Northern Territory,Arnhem Land,Roper R Reg,Rembarrnga,Barunga; Rembarunga; Kaltuy; Rainbargo; Rembarranga; Rembarrnga; Rembarrunga; Barung; Beswick Creek Settlement; ,Gunwinyguan Peoples,,,Indigenous Australians,Circum-Pacific Hunter/ Foragers,1961-62,Tropical Savannah,Aw,,,1.0,,,4.0,Rembarrnga,ISO 639-3: rmb,remb1249,language,remb1249,gunw1250,Australia,,"The Rembarrnga, otherwise known as the Rembarunga, are an indigenous Australian people of the Northern Territory. The Rembarunga are a small aboriginal community who, after Europeans came, worked in the mines of Maranboy. When the mines closed in 1945 the community moved away, but returned when the government developed the area by building housing and schools and creating employment opportunities, including the beginnings of a peanut farm.",,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoremb1249 @Ethnormb @WikiRembarrnga @Lomax1961-62Phonotactics
